"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/3331","Keith",,"Brookman","Lord Brookman","Male","David",,,"Biography information for Lord Brookman",,
"http://data.parliament.uk/members/3377","Gerald",,"Brooks","Lord Crawshaw","Male","David",,,"Biography information for Lord Crawshaw",,
"http://data.parliament.uk/members/1619",,"Bebington","Brooks","Edwin Brooks","Male","Edwin",,,"Biography information for Edwin Brooks","Labour",
"http://data.parliament.uk/members/3330","Edward",,"Brooks","Lord Brooks of Tremorfa","Male","John",,,"Biography information for Lord Brooks of Tremorfa",,
"http://data.parliament.uk/members/2864","Michael Clifton",,"Brooks","Lord Crawshaw","Male","William",,,"Biography information for Lord Crawshaw",,
"http://data.parliament.uk/members/4783","Helen ","Jarrow","Brooks-Osborne","Kate Osborne","Female","Katharine",,,"Biography information for Kate Osborne","Labour",
"http://data.parliament.uk/members/763","Lewis","Louth","Brotherton","Michael Brotherton","Male","Michael",,,"Biography information for Michael Brotherton","Conservative",
"http://data.parliament.uk/members/3329","John",,"Brougham","Lord Brougham and Vaux","Male","Michael",,,"Biography information for Lord Brougham and Vaux",,
"http://data.parliament.uk/members/2768","Henry George",,"Broughton","Lord Fairhaven","Male","Ailwyn",,,"Biography information for Lord Fairhaven",,
"http://data.parliament.uk/members/4470",,"Kilmarnock and Loudoun","Brown","Alan Brown","Male","Alan","www.alanbrownmp.scot","http://www.alanbrownmp.scot/","Biography information for Alan Brown","Scottish National Party","https://twitter.com/alanbrownsnp"
"http://data.parliament.uk/members/1008","Dunbar","Glasgow, Provan","Brown","Hugh Brown","Male","Hugh",,,"Biography information for Hugh Brown","Labour",
"http://data.parliament.uk/members/591","Gordon","Kirkcaldy and Cowdenbeath","Brown","Mr Gordon Brown","Male","James",,,"Biography information for Mr Gordon Brown","Labour",
"http://data.parliament.uk/members/1583","Carol","West Ham","Brown","Ms Lyn Brown","Female","Lyn","www.lynbrown.org.uk","http://www.lynbrown.org.uk/","Biography information for Ms Lyn Brown","Labour","https://twitter.com/lynbrownmp"
"http://data.parliament.uk/members/1121","Russell","Brigg & Cleethorpes","Brown","Michael Brown","Male","Michael",,,"Biography information for Michael Brown","Conservative",
"http://data.parliament.uk/members/523","Hugh","Newcastle upon Tyne East","Brown","Mr Nicholas Brown","Male","Nicholas","www.nickbrownmp.com","http://www.nickbrownmp.com","Biography information for Mr Nicholas Brown","Labour",
"http://data.parliament.uk/members/1055","Crofton","Newcastle upon Tyne North","Brown","Robert Brown","Male","Robert",,,"Biography information for Robert Brown","Labour",
"http://data.parliament.uk/members/1122","Duncan McLaren","Edinburgh, Leith","Brown","Ron Brown","Male","Ronald",,,"Biography information for Ron Brown","Independent Labour",
"http://data.parliament.uk/members/1061","William","Hackney South & Shoreditch","Brown","Ronald W. Brown","Male","Ronald",,,"Biography information for Ronald W. Brown","Social Democratic Party",
"http://data.parliament.uk/members/588","Leslie","Dumfries and Galloway","Brown","Mr Russell Brown","Male","Russell","www.russellbrownmp.com","http://www.russellbrownmp.com/","Biography information for Mr Russell Brown","Labour","https://twitter.com/russellbrownmp"
"http://data.parliament.uk/members/3654","Denis",,"Brown","Lord Brown of Eaton-under-Heywood","Male","Simon",,,"Biography information for Lord Brown of Eaton-under-Heywood",,
"http://data.parliament.uk/members/4801","Howe","South Cambridgeshire","Browne","Anthony Browne","Male","Anthony",,,"Biography information for Anthony Browne","Conservative","https://twitter.com/ab4scambs"
"http://data.parliament.uk/members/3039","Edward",,"Browne","The Marquess of Sligo","Male","Denis",,,"Biography information for The Marquess of Sligo",,
"http://data.parliament.uk/members/620",,,"Browne","Lord Browne of Ladyton","Male","Desmond",,,"Biography information for Lord Browne of Ladyton",,
"http://data.parliament.uk/members/2172",,,"Browne","Lord Browne of Madingley","Male","Edmund",,,"Biography information for Lord Browne of Madingley",,
"http://data.parliament.uk/members/3208","Dominick Edward",,"Browne","Lord Oranmore and Browne","Male","Geoffrey",,,"Biography information for Lord Oranmore and Browne",,
"http://data.parliament.uk/members/2183","Nixon",,"Browne","The Lord Craigton","Male","Jack",,,"Biography information for The Lord Craigton",,
"http://data.parliament.uk/members/1575","Richard","Taunton Deane","Browne","Mr Jeremy Browne","Male","Jeremy","www.tauntonlibdems.org.uk","http://www.tauntonlibdems.org.uk","Biography information for Mr Jeremy Browne","Liberal Democrat",
"http://data.parliament.uk/members/3119","Ulick",,"Browne","The Marquess of Sligo","Male","Jeremy",,,"Biography information for The Marquess of Sligo",,
"http://data.parliament.uk/members/1196","Ernest Douglas Delavalette","Winchester","Browne","Mr John Browne","Male","John",,,"Biography information for Mr John Browne","Independent Conservative",
"http://data.parliament.uk/members/3801",,,"Browne","Lord Browne of Belmont","Male","Wallace",,,"Biography information for Lord Browne of Belmont",,
"http://data.parliament.uk/members/3327",,,"Browne-Wilkinson","Lord Browne-Wilkinson","Male","Nicolas",,,"Biography information for Lord Browne-Wilkinson",,
"http://data.parliament.uk/members/236","Frances",,"Browning","Baroness Browning","Female","Angela",,,"Biography information for Baroness Browning",,
"http://data.parliament.uk/members/4720",,,"Brownlow","Lord Brownlow of Shurlock Row","Male","David ",,,"Biography information for Lord Brownlow of Shurlock Row",,
"http://data.parliament.uk/members/2261","Desmond Cavendish",,"Brownlow","Lord Lurgan","Male","John",,,"Biography information for Lord Lurgan",,
"http://data.parliament.uk/members/3107","Colclough",,"Broxbourne","Lord Broxbourne","Male","Derek",,,"Biography information for Lord Broxbourne",,
"http://data.parliament.uk/members/3898",,,"Bruce","Lord Aberdare","Male","Alastair",,,"Biography information for Lord Aberdare",,
"http://data.parliament.uk/members/2818","Douglas Alexander Thomas",,"Bruce","Earl of Elgin and Kincardine","Male","Andrew",,,"Biography information for Earl of Elgin and Kincardine",,
"http://data.parliament.uk/members/3325","William Trevor",,"Bruce","Lord Bruce of Donington","Male","Donald",,,"Biography information for Lord Bruce of Donington",,
"http://data.parliament.uk/members/3958","Claire","Congleton","Bruce","Fiona Bruce","Female","Fiona","www.fionabruce.org.uk","http://www.fionabruce.org.uk/","Biography information for Fiona Bruce","Conservative",
"http://data.parliament.uk/members/246","Cameron","South Dorset","Bruce","Mr Ian Bruce","Male","Ian",,,"Biography information for Mr Ian Bruce","Conservative",
"http://data.parliament.uk/members/615",,,"Bruce","Lord Bruce of Bennachie","Male","Malcolm",,,"Biography information for Lord Bruce of Bennachie",,"https://twitter.com/malcolmbruce"
"http://data.parliament.uk/members/3468","George Lyndhurst",,"Bruce","Lord Aberdare","Male","Morys",,,"Biography information for Lord Aberdare",,
"http://data.parliament.uk/members/3444",,,"Bruce","Lord Balfour of Burleigh","Male","Robert",,,"Biography information for Lord Balfour of Burleigh",,
"http://data.parliament.uk/members/3100",,,"Bruce-Gardyne","Lord Bruce-Gardyne","Male","John",,,"Biography information for Lord Bruce-Gardyne",,
"http://data.parliament.uk/members/3800","John",,"Bruce-Lockhart","Lord Bruce-Lockhart","Male","Alexander",,,"Biography information for Lord Bruce-Lockhart",,
"http://data.parliament.uk/members/765","Nigel Edward","Leicester East","Bruinvels","Peter Bruinvels","Male","Peter",,,"Biography information for Peter Bruinvels","Conservative",
"http://data.parliament.uk/members/3459","Sydney Cedric",,"Brundenell-Bruce","The Marquess of Ailesbury","Male","Michael",,,"Biography information for The Marquess of Ailesbury",,
"http://data.parliament.uk/members/1042","Elmore Oliver","Boothferry","Bryan","Sir Paul Bryan","Male","Paul",,,"Biography information for Sir Paul Bryan","Conservative",
"http://data.parliament.uk/members/4701",,,"Bryan","Baroness Bryan of Partick","Female","Pauline",,,"Biography information for Baroness Bryan of Partick",,
"http://data.parliament.uk/members/1446","John","Rhondda","Bryant","Chris Bryant","Male","Christopher","www.chrisbryantmp.org.uk","http://www.chrisbryantmp.org.uk/","Biography information for Chris Bryant","Labour",
"http://data.parliament.uk/members/4821","Christiana","Kensington","Buchan","Felicity Buchan","Female","Felicity",,,"Biography information for Felicity Buchan","Conservative",
"http://data.parliament.uk/members/2923","Norman Stuart",,"Buchan","Lord Tweedsmuir","Male","John",,,"Biography information for Lord Tweedsmuir",,
"http://data.parliament.uk/members/721","Findlay","Paisley South","Buchan","Norman Buchan","Male","Norman",,,"Biography information for Norman Buchan","Labour",
"http://data.parliament.uk/members/1819","James de l'Aigle",,"Buchan","Lord Tweedsmuir","Male","William",,,"Biography information for Lord Tweedsmuir",,
"http://data.parliament.uk/members/727","Laidlaw","Kincardine & Deeside","Buchanan-Smith","Alick Buchanan-Smith","Male","Alick",,,"Biography information for Alick Buchanan-Smith","Conservative",
"http://data.parliament.uk/members/199","Patricia","Westminster North","Buck","Ms Karen Buck","Female","Karen","www.karenbuck.org.uk","http://www.karenbuck.org.uk/","Biography information for Ms Karen Buck","Labour","https://twitter.com/KarenPBuckMP"
"http://data.parliament.uk/members/1111","Antony Fyson","North Colchester","Buck","Sir Antony Buck","Male","Philip",,,"Biography information for Sir Antony Buck","Conservative",
"http://data.parliament.uk/members/4106","James","South Swindon","Buckland","Robert Buckland","Male","Robert","www.robertbuckland.co.uk","http://www.robertbuckland.co.uk/","Biography information for Robert Buckland","Conservative","https://twitter.com/RobertBuckland"
"http://data.parliament.uk/members/726","James","Hemsworth","Buckley","George Buckley","Male","George",,,"Biography information for George Buckley","Labour",
"http://data.parliament.uk/members/1769","Burton",,"Buckley","Lord Wrenbury","Male","John",,,"Biography information for Lord Wrenbury",,
"http://data.parliament.uk/members/3320","Stanley",,"Buckmaster","Viscount Buckmaster","Male","Martin",,,"Biography information for Viscount Buckmaster",,
"http://data.parliament.uk/members/766","William","Wolverhampton South West","Budgen","Nicholas Budgen","Male","Nicholas",,,"Biography information for Nicholas Budgen","Conservative",
"http://data.parliament.uk/members/4706",,,"Bull","Baroness Bull","Female","Deborah",,,"Biography information for Baroness Bull",,"https://twitter.com/bulldeborah?lang=en"
"http://data.parliament.uk/members/3345","Louis Charles",,"Bullock","Lord Bullock","Male","Alan",,,"Biography information for Lord Bullock",,
"http://data.parliament.uk/members/767","Esmond","Wyre Forest","Bulmer","Esmond Bulmer","Male","James",,,"Biography information for Esmond Bulmer","Conservative",
"http://data.parliament.uk/members/3347","Philip",,"Burden","Lord Burden","Male","Andrew",,,"Biography information for Lord Burden",,
"http://data.parliament.uk/members/1099","Frank Arthur","Gillingham","Burden","Sir Frederick Burden","Male","Frederick",,,"Biography information for Sir Frederick Burden","Conservative",
"http://data.parliament.uk/members/2974","William",,"Burden","Lord Burden","Male","Philip",,,"Biography information for Lord Burden",,
"http://data.parliament.uk/members/301","Haines","Birmingham, Northfield","Burden","Richard Burden","Male","Richard","www.richardburden.com","http://www.richardburden.com","Biography information for Richard Burden","Labour","https://twitter.com/RichardBurdenMP"
"http://data.parliament.uk/members/4613","Alex","Brentwood and Ongar","Burghart","Alex Burghart","Male","Michael",,,"Biography information for Alex Burghart","Conservative","https://twitter.com/alexburghart"
"http://data.parliament.uk/members/408",,"Elmet","Burgon","Colin Burgon","Male","Colin","www.colinburgon.co.uk","http://www.colinburgon.co.uk/","Biography information for Colin Burgon","Labour",
"http://data.parliament.uk/members/4493",,"Leeds East","Burgon","Richard Burgon","Male","Richard","www.richardburgon.com","http://www.richardburgon.com/","Biography information for Richard Burgon","Labour","https://twitter.com/richardburgon"
"http://data.parliament.uk/members/3937",,"Cannock Chase","Burley","Mr Aidan Burley","Male","Aidan","www.aidanburleymp.org","http://www.aidanburleymp.org/","Biography information for Mr Aidan Burley","Conservative","https://twitter.com/AidanBurleyMP"
"http://data.parliament.uk/members/3353","Henry",,"Burlison","Lord Burlison","Male","Thomas",,,"Biography information for Lord Burlison",,
"http://data.parliament.uk/members/4691",,,"Burnett","Lord Burnett of Maldon","Male","Ian",,,"Biography information for Lord Burnett of Maldon",,
"http://data.parliament.uk/members/238","Patrick Aubone",,"Burnett","Lord Burnett","Male","John",,,"Biography information for Lord Burnett",,
"http://data.parliament.uk/members/1427","Murray","Leigh","Burnham","Andy Burnham","Male","Andrew","www.andyburnham.net","http://www.andyburnham.net/","Biography information for Andy Burnham","Labour","https://twitter.com/andyburnhammp"
"http://data.parliament.uk/members/3922",,"Bournemouth West","Burns","Conor Burns","Male","Conor","www.conorburns.com","http://www.conorburns.com/","Biography information for Conor Burns","Conservative","https://twitter.com/ConorBurnsUK"
"http://data.parliament.uk/members/46","Hugh McGuigan","Chelmsford","Burns","Sir Simon Burns","Male","Simon","www.simonburnsmp.com","http://www.simonburnsmp.com/","Biography information for Sir Simon Burns","Conservative",
"http://data.parliament.uk/members/3351",,,"Burns","Lord Burns","Male","Terence",,,"Biography information for Lord Burns",,
"http://data.parliament.uk/members/1449","Wilson Boyd","South Antrim","Burnside","David Burnside","Male","David",,,"Biography information for David Burnside","Ulster Unionist Party",
"http://data.parliament.uk/members/1518","John Barrington","Enfield, Southgate","Burrowes","Mr David Burrowes","Male","David","davidburrowes.com","http://davidburrowes.com/","Biography information for Mr David Burrowes","Conservative","https://twitter.com/davidburrowesmp"
"http://data.parliament.uk/members/204","Kenneth","Sutton and Cheam","Burstow","Paul Burstow","Male","Paul","www.paulburstow.org.uk","http://www.paulburstow.org.uk","Biography information for Paul Burstow","Liberal Democrat","https://twitter.com/PaulBurstow"
"http://data.parliament.uk/members/1201","James Hendrie","North East Bedfordshire","Burt","Alistair Burt","Male","Alistair","www.alistair-burt.co.uk","http://www.alistair-burt.co.uk","Biography information for Alistair Burt","Conservative","https://twitter.com/AlistairBurtUK"
"http://data.parliament.uk/members/1567",,,"Burt","Baroness Burt of Solihull","Female","Lorely",,,"Biography information for Baroness Burt of Solihull",,"https://twitter.com/LorelyBurt"
"http://data.parliament.uk/members/2260","Frances",,"Burton","Baroness Burton of Coventry","Female","Elaine",,,"Biography information for Baroness Burton of Coventry",,
"http://data.parliament.uk/members/3349",,,"Buscombe","Baroness Buscombe","Female","Peta",,,"Biography information for Baroness Buscombe",,
"http://data.parliament.uk/members/1123","Patrick","Coventry South West","Butcher","John Butcher","Male","John",,,"Biography information for John Butcher","Conservative",
"http://data.parliament.uk/members/1093","Courtauld","Bosworth","Butler","Sir Adam Butler","Male","Adam",,,"Biography information for Sir Adam Butler","Conservative",
"http://data.parliament.uk/members/3043","Stuart Theobald Somerset Caher",,"Butler","Earl of Carrick","Male","Brian",,,"Biography information for Earl of Carrick",,
"http://data.parliament.uk/members/34","Margaret","Castle Point","Butler","Christine Butler","Female","Christine",,,"Biography information for Christine Butler","Labour",
"http://data.parliament.uk/members/1157","John","Warrington South","Butler","Christopher Butler","Male","Christopher",,,"Biography information for Christopher Butler","Conservative",
