"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/1675",,"Ipswich","Money","Ernle Money","Male","Ernle",,,"Biography information for Ernle Money","Conservative",
"http://data.parliament.uk/members/2082","Nevill",,"Money-Coutts","Lord Latymer","Male","Hugo",,,"Biography information for Lord Latymer",,
"http://data.parliament.uk/members/2363","Burdett",,"Money-Coutts","Lord Latymer","Male","Thomas",,,"Biography information for Lord Latymer",,
"http://data.parliament.uk/members/4186","Stephen",,"Monks","Lord Monks","Male","John",,,"Biography information for Lord Monks",,
"http://data.parliament.uk/members/1238","Seymour Peter","Dumfries","Monro","Sir Hector Monro","Male","Hector",,,"Biography information for Sir Hector Monro","Conservative",
"http://data.parliament.uk/members/1955","Seymour Peter",,"Monro","Lord Monro of Langholm","Male","Hector",,,"Biography information for Lord Monro of Langholm",,
"http://data.parliament.uk/members/3022","Bolton Graham Eyres",,"Monsell","The Viscount Monsell","Male","Henry",,,"Biography information for The Viscount Monsell",,
"http://data.parliament.uk/members/1954",,,"Monson","Lord Monson","Male","John",,,"Biography information for Lord Monson",,
"http://data.parliament.uk/members/1835","Charles Drogo",,"Montagu","Duke of Manchester","Male","Angus",,,"Biography information for Duke of Manchester",,
"http://data.parliament.uk/members/2236","Edgar Samuel",,"Montagu","Lord Swaythling","Male","Charles",,,"Biography information for Lord Swaythling",,
"http://data.parliament.uk/members/2832","Charles Samuel",,"Montagu","Lord Swaythling","Male","David",,,"Biography information for Lord Swaythling",,
"http://data.parliament.uk/members/2109",,,"Montagu","The Earl of Sandwich","Male","John",,,"Biography information for The Earl of Sandwich",,
"http://data.parliament.uk/members/2318","Albert Samuel",,"Montagu","Lord Swaythling","Male","Stuart",,,"Biography information for Lord Swaythling",,
"http://data.parliament.uk/members/3323","Francis John",,"Montagu Douglas Scott","The Duke of Buccleuch and Queensberry","Male","Walter",,,"Biography information for The Duke of Buccleuch and Queensberry",,
"http://data.parliament.uk/members/2410","James",,"Montagu Stuart Wortley","Earl of Wharncliffe","Male","Alan",,,"Biography information for Earl of Wharncliffe",,
"http://data.parliament.uk/members/1719","Ralph",,"Montagu Stuart Wortley","The Earl of Wharncliffe","Male","Alan",,,"Biography information for The Earl of Wharncliffe",,
"http://data.parliament.uk/members/3475","Norman",,"Montague","Lord Amwell","Male","Keith",,,"Biography information for Lord Amwell",,
"http://data.parliament.uk/members/1952","Jacob",,"Montague","Lord Montague of Oxford","Male","Michael",,,"Biography information for Lord Montague of Oxford",,
"http://data.parliament.uk/members/2377","William",,"Montefiore","The Lord Bishop of Birmingham","Male","Hugh",,,"Biography information for The Lord Bishop of Birmingham",,
"http://data.parliament.uk/members/2811",,,"Montgomerie","Earl of Eglinton","Male","Archibald",,,"Biography information for Earl of Eglinton",,
"http://data.parliament.uk/members/1950",,,"Montgomery","Viscount Montgomery of Alamein","Male","David",,,"Biography information for Viscount Montgomery of Alamein",,
