"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/3007","Barel",,"Hirshfield","Lord Hirshfield","Male","Desmond",,,"Biography information for Lord Hirshfield",,
"http://data.parliament.uk/members/867","William","Strathkelvin & Bearsden","Hirst","Sir Michael Hirst","Male","Michael",,,"Biography information for Sir Michael Hirst","Conservative",
"http://data.parliament.uk/members/2829","Warwick",,"Hives","Lord Hives","Male","John",,,"Biography information for Lord Hives",,
"http://data.parliament.uk/members/2635","Peter",,"Hives","Lord Hives","Male","Matthew",,,"Biography information for Lord Hives",,
"http://data.parliament.uk/members/4494","James","North Dorset","Hoare","Simon Hoare","Male","Simon",,,"Biography information for Simon Hoare","Conservative","https://twitter.com/simon4ndorset"
"http://data.parliament.uk/members/1414","Gerard","Fareham","Hoban","Mr Mark Hoban","Male","Mark","www.markhoban.com","http://www.markhoban.com/","Biography information for Mr Mark Hoban","Conservative","https://twitter.com/markhobanmp"
"http://data.parliament.uk/members/3321","Miles",,"Hobart-Hampden","Earl of Buckinghamshire","Male","George",,,"Biography information for Earl of Buckinghamshire",,
"http://data.parliament.uk/members/2634","Stewart",,"Hobhouse","Lord Hobhouse of Woodborough","Male","John",,,"Biography information for Lord Hobhouse of Woodborough",,
"http://data.parliament.uk/members/4602","Benedicta","Bath","Hobhouse","Wera Hobhouse","Female","Wera",,,"Biography information for Wera Hobhouse","Liberal Democrat","https://twitter.com/Wera_Hobhouse"
"http://data.parliament.uk/members/140","Eve","Barking","Hodge","Dame Margaret Hodge","Female","Margaret",,,"Biography information for Dame Margaret Hodge","Labour","https://twitter.com/margarethodge"
"http://data.parliament.uk/members/4301",,,"Hodgson","Baroness Hodgson of Abinger","Female","Fiona",,,"Biography information for Baroness Hodgson of Abinger",,
"http://data.parliament.uk/members/1651","Granville",,"Hodgson","Lord Hodgson of Astley Abbotts","Male","Robin",,,"Biography information for Lord Hodgson of Astley Abbotts",,
"http://data.parliament.uk/members/1521",,"Washington and Sunderland West","Hodgson","Mrs Sharon Hodgson","Female","Sharon","www.sharonhodgson.org","http://www.sharonhodgson.org/","Biography information for Mrs Sharon Hodgson","Labour","https://twitter.com/SharonHodgsonMP"
"http://data.parliament.uk/members/210",,,"Hoey","Baroness Hoey","Female","Kate",,,"Biography information for Baroness Hoey",,
"http://data.parliament.uk/members/2633",,,"Hoffmann","Lord Hoffmann","Male","Leonard",,,"Biography information for Lord Hoffmann",,
"http://data.parliament.uk/members/4693",,,"Hogan-Howe","Lord Hogan-Howe","Male","Bernard",,,"Biography information for Lord Hogan-Howe",,
"http://data.parliament.uk/members/349",,,"Hogg","Viscount Hailsham","Male","Douglas","www.snhca.co.uk","http://www.snhca.co.uk/","Biography information for Viscount Hailsham",,
"http://data.parliament.uk/members/1131",,"Cumbernauld & Kilsyth","Hogg","Norman Hogg","Male","Norman",,,"Biography information for Norman Hogg","Labour",
"http://data.parliament.uk/members/2631",,,"Hogg","Lord Hogg of Cumbernauld","Male","Norman",,,"Biography information for Lord Hogg of Cumbernauld",,
"http://data.parliament.uk/members/2597","McGarel",,"Hogg","Lord Hailsham of Saint Marylebone","Male","Quintin",,,"Biography information for Lord Hailsham of Saint Marylebone",,
"http://data.parliament.uk/members/2632",,,"Hogg","Baroness Hogg","Female","Sarah",,,"Biography information for Baroness Hogg",,
"http://data.parliament.uk/members/4714",,,"Holden","The Lord Bishop of Derby","Female","Elizabeth",,,"Biography information for The Lord Bishop of Derby",,
"http://data.parliament.uk/members/4813","John","North West Durham","Holden","Mr Richard Holden","Male","Richard",,,"Biography information for Mr Richard Holden","Conservative","https://twitter.com/RicHolden"
"http://data.parliament.uk/members/1047","Welsby","Gedling","Holland","Sir Philip Holland","Male","Philip",,,"Biography information for Sir Philip Holland","Conservative",
"http://data.parliament.uk/members/712","Kingsley","Vauxhall","Holland","Stuart Holland","Male","Stuart",,,"Biography information for Stuart Holland","Labour",
"http://data.parliament.uk/members/2400","Thurston",,"Holland-Hibbert","Viscount Knutsford","Male","Julian",,,"Biography information for Viscount Knutsford",,
"http://data.parliament.uk/members/2090",,,"Holland-Hibbert","Viscount Knutsford","Male","Michael",,,"Biography information for Viscount Knutsford",,
"http://data.parliament.uk/members/4363","Malloy","Blackburn","Hollern","Kate Hollern","Female","Catherine","www.katehollern.org","http://www.katehollern.org/","Biography information for Kate Hollern","Labour","https://twitter.com/kate_hollernmp"
"http://data.parliament.uk/members/2732",,,"Hollick","Lord Hollick","Male","Clive",,,"Biography information for Lord Hollick",,"https://twitter.com/clivehollick"
"http://data.parliament.uk/members/4016","Michael Edward","Meon Valley","Hollingbery","Sir George Hollingbery","Male","George","www.georgehollingbery.com","http://www.georgehollingbery.com/","Biography information for Sir George Hollingbery","Conservative",
"http://data.parliament.uk/members/1652",,"Birmingham, All Saints","Hollingworth","John Hollingworth","Male","John",,,"Biography information for John Hollingworth","Conservative",
"http://data.parliament.uk/members/4474","Paul","Thirsk and Malton","Hollinrake","Kevin Hollinrake","Male","Kevin","www.kevinhollinrake.org.uk","http://www.kevinhollinrake.org.uk/","Biography information for Kevin Hollinrake","Conservative","https://twitter.com/kevinhollinrake"
"http://data.parliament.uk/members/4190","Clare",,"Hollins","Baroness Hollins","Female","Sheila",,,"Biography information for Baroness Hollins",,"https://twitter.com/BaronessHollins"
"http://data.parliament.uk/members/1845",,,"Hollis","Baroness Hollis of Heigham","Female","Patricia",,,"Biography information for Baroness Hollis of Heigham",,
"http://data.parliament.uk/members/1537","Thomas","Kettering","Hollobone","Mr Philip Hollobone","Male","Philip",,,"Biography information for Mr Philip Hollobone","Conservative",
"http://data.parliament.uk/members/1522","James Harold","Gravesham","Holloway","Adam Holloway","Male","Adam","www.adamholloway.co.uk","http://www.adamholloway.co.uk/","Biography information for Adam Holloway","Conservative",
"http://data.parliament.uk/members/2009","Gordon",,"Holme","Lord Holme of Cheltenham","Male","Richard",,,"Biography information for Lord Holme of Cheltenham",,
"http://data.parliament.uk/members/4294",,,"Holmes","Lord Holmes of Richmond","Male","Christopher","www.chrisholmes.co.uk","http://www.chrisholmes.co.uk","Biography information for Lord Holmes of Richmond",,"https://twitter.com/LordChrisHolmes"
"http://data.parliament.uk/members/4803","John","Eastleigh","Holmes","Paul Holmes","Male","Paul",,,"Biography information for Paul Holmes","Conservative","https://twitter.com/pauljholmes"
"http://data.parliament.uk/members/1404","Robert","Chesterfield","Holmes","Paul Holmes","Male","Paul","www.paulholmes.org.uk","http://www.paulholmes.org.uk","Biography information for Paul Holmes","Liberal Democrat",
"http://data.parliament.uk/members/2640","William",,"Holmes a Court","Lord Heytesbury","Male","Francis",,,"Biography information for Lord Heytesbury",,
"http://data.parliament.uk/members/728","Richard","Langbaurgh","Holt","Richard Holt","Male","James",,,"Biography information for Richard Holt","Conservative",
"http://data.parliament.uk/members/1653",,"Preston North","Holt","Mary Holt","Female","Mary",,,"Biography information for Mary Holt","Conservative",
"http://data.parliament.uk/members/4350",,,"Holtam","The Lord Bishop of Salisbury","Male","Nicholas",,,"Biography information for The Lord Bishop of Salisbury",,
"http://data.parliament.uk/members/594","David","East Lothian","Home Robertson","Mr John Home Robertson","Male","John",,,"Biography information for Mr John Home Robertson","Labour",
"http://data.parliament.uk/members/868","Dennis","Kettering","Homewood","Bill Homewood","Male","William",,,"Biography information for Bill Homewood","Labour",
"http://data.parliament.uk/members/2006","Lambert",,"Hood","Viscount Hood","Male","Alexander",,,"Biography information for Viscount Hood",,
"http://data.parliament.uk/members/3513","Nelson",,"Hood","The Viscount Bridport","Male","Alexander",,,"Biography information for The Viscount Bridport",,
"http://data.parliament.uk/members/2516","Lyttelton Alexander",,"Hood","Viscount Hood","Male","Henry",,,"Biography information for Viscount Hood",,
"http://data.parliament.uk/members/582",,"Lanark and Hamilton East","Hood","Mr Jim Hood","Male","James","jimhoodmp.org.uk","http://jimhoodmp.org.uk/","Biography information for Mr Jim Hood","Labour","https://twitter.com/JimHood_MP"
"http://data.parliament.uk/members/869","Oswald","Sheffield, Heeley","Hooley","Frank Hooley","Male","Frank",,,"Biography information for Frank Hooley","Labour",
"http://data.parliament.uk/members/357","William","Ashfield","Hoon","Mr Geoffrey Hoon","Male","Geoffrey","www.geoffhoonmp.co.uk","http://www.geoffhoonmp.co.uk/","Biography information for Mr Geoffrey Hoon","Independent",
"http://data.parliament.uk/members/2005","Dorothy",,"Hooper","Baroness Hooper","Female","Gloria",,,"Biography information for Baroness Hooper",,
"http://data.parliament.uk/members/1654","Emlyn",,"Hooson","Lord Hooson","Male","Hugh",,,"Biography information for Lord Hooson",,
"http://data.parliament.uk/members/870","Ellis","Brecon & Radnor","Hooson","Tom Hooson","Male","Thomas",,,"Biography information for Tom Hooson","Conservative",
"http://data.parliament.uk/members/2055","John Charles",,"Hope","The Marquess of Linlithgow","Male","Adrian",,,"Biography information for The Marquess of Linlithgow",,
"http://data.parliament.uk/members/2411","William Frederick",,"Hope","The Marquess of Linlithgow","Male","Charles",,,"Biography information for The Marquess of Linlithgow",,
"http://data.parliament.uk/members/3732",,,"Hope","Lord Hope of Thornes","Male","David",,,"Biography information for Lord Hope of Thornes",,
"http://data.parliament.uk/members/2004",,,"Hope","Lord Hope of Craighead","Male","James",,,"Biography information for Lord Hope of Craighead",,
"http://data.parliament.uk/members/2932","Adrian",,"Hope","Lord Glendevon","Male","John",,,"Biography information for Lord Glendevon",,
"http://data.parliament.uk/members/2605","John Somerset",,"Hope","Lord Glendevon","Male","Julian",,,"Biography information for Lord Glendevon",,
"http://data.parliament.uk/members/3283","Thomas More Henry",,"Hope","Lord Rankeillour","Male","Peter",,,"Biography information for Lord Rankeillour",,
"http://data.parliament.uk/members/351","Ian","Corby","Hope","Phil Hope","Male","Philip","www.philhope.org.uk","http://www.philhope.org.uk","Biography information for Phil Hope","Labour",
"http://data.parliament.uk/members/3487","Andrew Wentworth",,"Hope Johnstone of Annandale & of that Ilk","Earl of Annandale and Hartfell","Male","Patrick",,,"Biography information for Earl of Annandale and Hartfell",,
"http://data.parliament.uk/members/2629","Hope",,"Hope-Morley","Lord Hollenden","Male","Gordon",,,"Biography information for Lord Hollenden",,
"http://data.parliament.uk/members/2450","Hampden Hope",,"Hope-Morley","Lord Hollenden","Male","Ian",,,"Biography information for Lord Hollenden",,
"http://data.parliament.uk/members/4144",,,"Hopkin","Lord Hill of Oareford","Male","Jonathan",,,"Biography information for Lord Hill of Oareford",,
"http://data.parliament.uk/members/1655","Cripps Nind","Bristol North East","Hopkins","Alan Hopkins","Male","Alan",,,"Biography information for Alan Hopkins","National Liberal & Conservative",
