"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/1724","Thomas",,"Wigoder","Lord Wigoder","Male","Basil",,,"Biography information for Lord Wigoder",,
"http://data.parliament.uk/members/1725","Neville Clive",,"Wigram","Lord Wigram","Male","George",,,"Biography information for Lord Wigram",,
"http://data.parliament.uk/members/1726","Orme",,"Wilberforce","Lord Wilberforce","Male","Richard",,,"Biography information for Lord Wilberforce",,
"http://data.parliament.uk/members/4730",,,"Wilcox","Baroness Wilcox of Newport","Female","Deborah",,,"Biography information for Baroness Wilcox of Newport",,
"http://data.parliament.uk/members/1727",,,"Wilcox","Baroness Wilcox","Female","Judith",,,"Biography information for Baroness Wilcox",,
"http://data.parliament.uk/members/4787","Oliver","North West Norfolk","Wild","James Wild","Male","James",,,"Biography information for James Wild","Conservative",
"http://data.parliament.uk/members/2493",,,"Wilkins","Baroness Wilkins","Female","Rosalie",,,"Biography information for Baroness Wilkins",,
"http://data.parliament.uk/members/202","Arbuthnot DuCane","Ruislip - Northwood","Wilkinson","Mr John Wilkinson","Male","John",,,"Biography information for Mr John Wilkinson","Conservative",
"http://data.parliament.uk/members/53",,,"Willetts","Lord Willetts","Male","David","www.davidwilletts.co.uk","http://www.davidwilletts.co.uk","Biography information for Lord Willetts",,
"http://data.parliament.uk/members/1360","Thomas","Sunderland North","Willey","Frederick Willey","Male","Frederick",,,"Biography information for Frederick Willey","Labour",
"http://data.parliament.uk/members/569","John","Swansea West","Williams","Mr Alan Williams","Male","Alan",,,"Biography information for Mr Alan Williams","Labour",
"http://data.parliament.uk/members/1712","Lee","Hornchurch","Williams","Alan Williams","Male","Alan",,,"Biography information for Alan Williams","Labour",
"http://data.parliament.uk/members/536","Wynne","Carmarthen East & Dinefwr","Williams","Dr Alan Williams","Male","Alan",,,"Biography information for Dr Alan Williams","Labour",
"http://data.parliament.uk/members/4438",,"Montgomeryshire","Williams","Craig Williams","Male","Alun Craig",,,"Biography information for Craig Williams","Conservative","https://twitter.com/craig4monty"
"http://data.parliament.uk/members/548","Helena","Conwy","Williams","Mrs Betty Williams","Female","Betty","betty+williams","http://www.epolitix.com/EN/MPWebsites/betty+williams","Biography information for Mrs Betty Williams","Labour",
"http://data.parliament.uk/members/1728",,,"Williams","Lord Williams of Elvel","Male","Charles",,,"Biography information for Lord Williams of Elvel",,
"http://data.parliament.uk/members/1344","John Delwyn","Montgomery","Williams","Delwyn Williams","Male","David",,,"Biography information for Delwyn Williams","Conservative",
"http://data.parliament.uk/members/1751","Wyn",,"Williams","Lord Williams of Mostyn","Male","Gareth",,,"Biography information for Lord Williams of Mostyn",,
"http://data.parliament.uk/members/1397",,"Arfon","Williams","Hywel Williams","Male","Hywel",,,"Biography information for Hywel Williams","Plaid Cymru","https://twitter.com/hywelplaidcymru"
"http://data.parliament.uk/members/1498","Fraser","Ceredigion","Williams","Mr Mark Williams","Male","Mark","www.markwilliams.org.uk","http://www.markwilliams.org.uk/","Biography information for Mr Mark Williams","Liberal Democrat","https://twitter.com/mark4ceredigion"
"http://data.parliament.uk/members/4185","Charles",,"Williams","Lord Williams of Baglan","Male","Michael",,,"Biography information for Lord Williams of Baglan",,
"http://data.parliament.uk/members/4666","Daniel","Stockton South","Williams","Dr Paul Williams","Male","Paul",,,"Biography information for Dr Paul Williams","Labour","https://twitter.com/paulwilliamsmp"
"http://data.parliament.uk/members/1394","Hugh","Brecon and Radnorshire","Williams","Roger Williams","Male","Roger","www.rogerwilliams.org.uk","http://www.rogerwilliams.org.uk","Biography information for Roger Williams","Liberal Democrat","https://twitter.com/RogerWilliamsLD"
"http://data.parliament.uk/members/3620",,,"Williams","Lord Williams of Oystermouth","Male","Rowan",,,"Biography information for Lord Williams of Oystermouth",,
"http://data.parliament.uk/members/740","Vivien Teresa Brittain",,"Williams","Baroness Williams of Crosby","Female","Shirley",,,"Biography information for Baroness Williams of Crosby",,
"http://data.parliament.uk/members/1492","Roy","Bristol West","Williams","Stephen Williams","Male","Stephen","www.stephenwilliams.org.uk","http://www.stephenwilliams.org.uk","Biography information for Stephen Williams","Liberal Democrat","https://twitter.com/swilliamsmp"
