"uri","additional name","constituency > label","family name","full name","gender","given name","home page","home page > uri","label","party","twitter"
"http://data.parliament.uk/members/4879",,,"Frost","Lord Frost","Male","David",,,"Biography information for Lord Frost",,
"http://data.parliament.uk/members/1044","Derek","Wellingborough","Fry","Sir Peter Fry","Male","Peter",,,"Biography information for Sir Peter Fry","Conservative",
"http://data.parliament.uk/members/4121",,,"Fullbrook","Baroness Fullbrook","Female","Lorraine",,,"Biography information for Baroness Fullbrook",,
"http://data.parliament.uk/members/3912","Quentin","North East Bedfordshire","Fuller","Richard Fuller","Male","Richard",,,"Biography information for Richard Fuller","Conservative",
"http://data.parliament.uk/members/2421","Scott",,"Fulton","Lord Fulton","Male","John",,,"Biography information for Lord Fulton",,
"http://data.parliament.uk/members/2955","Anthony",,"Furness","The Viscount Furness","Male","William",,,"Biography information for The Viscount Furness",,
"http://data.parliament.uk/members/4571",,"Sheffield, Brightside and Hillsborough","Furniss","Gill Furniss","Female","Gillian",,,"Biography information for Gill Furniss","Labour","https://twitter.com/gillfurnissmp"
"http://data.parliament.uk/members/2549","Lennox",,"Fyfe","Lord Fyfe of Fairfield","Male","George",,,"Biography information for Lord Fyfe of Fairfield",,
"http://data.parliament.uk/members/610",,"Glasgow, Maryhill","Fyfe","Mrs Maria Fyfe","Female","Maria",,,"Biography information for Mrs Maria Fyfe","Labour",
"http://data.parliament.uk/members/4446","John Hudson","Yeovil","Fysh","Mr Marcus Fysh","Male","Marcus","www.marcusfysh.org.uk","http://www.marcusfysh.org.uk/","Biography information for Mr Marcus Fysh","Conservative","https://twitter.com/marcusfysh"
"http://data.parliament.uk/members/4575",,,"Gadhia","Lord Gadhia","Male","Jitesh",,,"Biography information for Lord Gadhia",,
"http://data.parliament.uk/members/4614","Lawrence","Coatbridge, Chryston and Bellshill","Gaffney","Hugh Gaffney","Male","Hugh",,,"Biography information for Hugh Gaffney","Labour","https://twitter.com/HughGaffneyMP"
"http://data.parliament.uk/members/3003","John St Clere",,"Gage","Viscount Gage","Male","George",,,"Biography information for Viscount Gage",,
"http://data.parliament.uk/members/2592","Nicolas",,"Gage","Viscount Gage","Male","Henry",,,"Biography information for Viscount Gage",,
"http://data.parliament.uk/members/2303","Dora",,"Gaitskell","The Baroness Gaitskell","Female","Anna",,,"Biography information for The Baroness Gaitskell",,
"http://data.parliament.uk/members/637","Laird","Strathkelvin & Bearsden","Galbraith","Mr Sam Galbraith","Male","Samuel",,,"Biography information for Mr Sam Galbraith","Labour",
"http://data.parliament.uk/members/1117","Galloway Dunlop","Glasgow, Hillhead","Galbraith","Sir Tam Galbraith","Male","Thomas",,,"Biography information for Sir Tam Galbraith","Conservative",
"http://data.parliament.uk/members/2221","Galloway Dunlop du Roy de Blicquy",,"Galbraith","Lord Strathclyde","Male","Thomas",,,"Biography information for Lord Strathclyde",,
"http://data.parliament.uk/members/2503",,,"Gale","Baroness Gale","Female","Anita",,,"Biography information for Baroness Gale",,"https://twitter.com/BaronessGale"
"http://data.parliament.uk/members/87","James","North Thanet","Gale","Sir Roger Gale","Male","Roger","www.rogergale.co.uk","http://www.rogergale.co.uk","Biography information for Sir Roger Gale","Conservative",
"http://data.parliament.uk/members/2589",,,"Gallacher","Lord Gallacher","Male","John",,,"Biography information for Lord Gallacher",,
"http://data.parliament.uk/members/839",,"Halifax","Galley","Roy Galley","Male","Roy",,,"Biography information for Roy Galley","Conservative",
"http://data.parliament.uk/members/1221","Roy","Ayr","Gallie","Mr Phil Gallie","Male","Philip",,,"Biography information for Mr Phil Gallie","Conservative",
"http://data.parliament.uk/members/609",,"Bradford West","Galloway","Mr George Galloway","Male","George","www.georgegalloway.com","http://www.georgegalloway.com/","Biography information for Mr George Galloway","Respect","https://twitter.com/georgegalloway"
"http://data.parliament.uk/members/3061",,,"Galpern","Lord Galpern","Male","Myer",,,"Biography information for Lord Galpern",,
"http://data.parliament.uk/members/3527","Julian",,"Ganzoni","Lord Belstead","Male","John",,,"Biography information for Lord Belstead",,
"http://data.parliament.uk/members/184","John","Ilford South","Gapes","Mike Gapes","Male","Michael","www.mikegapes.org","http://www.mikegapes.org","Biography information for Mike Gapes","The Independent Group for Change","https://twitter.com/MikeGapes"
"http://data.parliament.uk/members/3842",,,"Garden","Baroness Garden of Frognal","Female","Susan",,,"Biography information for Baroness Garden of Frognal",,
"http://data.parliament.uk/members/3673",,,"Garden","Lord Garden","Male","Timothy",,,"Biography information for Lord Garden",,
"http://data.parliament.uk/members/146","Strachan","Brent North","Gardiner","Barry Gardiner","Male","Barry","www.barrygardiner.com","http://www.barrygardiner.com","Biography information for Barry Gardiner","Labour","https://twitter.com/BarryGardiner"
"http://data.parliament.uk/members/1101","Arthur","Reigate","Gardiner","Sir George Gardiner","Male","George",,,"Biography information for Sir George Gardiner","Referendum",
"http://data.parliament.uk/members/2297","Austin",,"Gardiner","Lord Gardiner","Male","Gerald",,,"Biography information for Lord Gardiner",,
"http://data.parliament.uk/members/4161","Eric",,"Gardiner","Lord Gardiner of Kimble","Male","John",,,"Biography information for Lord Gardiner of Kimble",,
"http://data.parliament.uk/members/1645",,"Rushcliffe","Gardner","Antony Gardner","Male","Antony",,,"Biography information for Antony Gardner","Labour",
"http://data.parliament.uk/members/999","Lucas","Fylde","Gardner","Sir Edward Gardner","Male","Edward",,,"Biography information for Sir Edward Gardner","Conservative",
"http://data.parliament.uk/members/3596","Trixie Anne",,"Gardner","Baroness Gardner of Parkes","Female","Rachel",,,"Biography information for Baroness Gardner of Parkes",,
"http://data.parliament.uk/members/840",,,"Garel-Jones","Lord Garel-Jones","Male","William",,,"Biography information for Lord Garel-Jones",,
"http://data.parliament.uk/members/337",,,"Garnier","Lord Garnier","Male","Edward",,,"Biography information for Lord Garnier",,
"http://data.parliament.uk/members/4074","Robert Timothy","Wyre Forest","Garnier","Mark Garnier","Male","Mark","www.markgarnier.co.uk","http://www.markgarnier.co.uk/","Biography information for Mark Garnier","Conservative","https://twitter.com/Mark4WyreForest"
"http://data.parliament.uk/members/842","Laurence","Norwich South","Garrett","John Garrett","Male","John",,,"Biography information for John Garrett","Labour",
"http://data.parliament.uk/members/841","Edward","Wallsend","Garrett","Edward Garrett","Male","William",,,"Biography information for Edward Garrett","Labour",
"http://data.parliament.uk/members/1124",,,"Gascoyne-Cecil","Marquess of Salisbury","Male","Robert",,,"Biography information for Marquess of Salisbury",,
"http://data.parliament.uk/members/2150",,,"Gascoyne-Cecil","Marquess of Salisbury","Male","Robert",,,"Biography information for Marquess of Salisbury",,
"http://data.parliament.uk/members/3382",,,"Gathorne-Hardy","Earl of Cranbrook","Male","Gathorne",,,"Biography information for Earl of Cranbrook",,
"http://data.parliament.uk/members/1529","Michael","South West Hertfordshire","Gauke","Mr David Gauke","Male","David","www.davidgauke.com","http://www.davidgauke.com/","Biography information for Mr David Gauke","Independent",
"http://data.parliament.uk/members/2504",,,"Gavron","Lord Gavron","Male","Robert",,,"Biography information for Lord Gavron",,
"http://data.parliament.uk/members/2595","Michael Ross",,"Geddes","Lord Geddes","Male","Euan",,,"Biography information for Lord Geddes",,
"http://data.parliament.uk/members/4692",,,"Geidt","Lord Geidt","Male","Christopher",,,"Biography information for Lord Geidt",,
"http://data.parliament.uk/members/4257",,,"Geoffrey","The Lord Bishop of Worcester","Male","John",,,"Biography information for The Lord Bishop of Worcester",,
"http://data.parliament.uk/members/227","Henry","St Ives","George","Andrew George","Male","Andrew","www.andrewgeorge.org.uk","http://www.andrewgeorge.org.uk","Biography information for Andrew George","Liberal Democrat","https://twitter.com/AndrewGeorgeLD"
"http://data.parliament.uk/members/317","Thomas","Walsall South","George","Mr Bruce George","Male","Bruce","www.bruce-george.com","http://www.bruce-george.com/","Biography information for Mr Bruce George","Labour",
"http://data.parliament.uk/members/3706","Alan John",,"George","The Lord George","Male","Edward",,,"Biography information for The Lord George",,
"http://data.parliament.uk/members/4662","Stephanie Nicole","High Peak","George","Ruth George","Female","Ruth","ruthforhighpeak.co.uk","http://ruthforhighpeak.co.uk/","Biography information for Ruth George","Labour",
"http://data.parliament.uk/members/3600","Robert Hugo",,"Gerard","Lord Gerard","Male","Anthony",,,"Biography information for Lord Gerard",,
"http://data.parliament.uk/members/3057","William Frederick alwyn",,"Gerard","Lord Gerard","Male","Robert",,,"Biography information for Lord Gerard",,
"http://data.parliament.uk/members/4163",,,"German","Lord German","Male","Michael",,,"Biography information for Lord German",,"https://twitter.com/mjgerman"
"http://data.parliament.uk/members/211","Francis","Walthamstow","Gerrard","Mr Neil Gerrard","Male","Neil","www.neilgerrard.co.uk","http://www.neilgerrard.co.uk","Biography information for Mr Neil Gerrard","Labour",
"http://data.parliament.uk/members/4434","Patrick","North East Fife","Gethins","Stephen Gethins","Male","Stephen","stephengethins.scot","http://stephengethins.scot","Biography information for Stephen Gethins","Scottish National Party","https://twitter.com/stephengethins"
"http://data.parliament.uk/members/111","John","Bognor Regis and Littlehampton","Gibb","Nick Gibb","Male","Nicolas",,,"Biography information for Nick Gibb","Conservative","https://twitter.com/nickgibbuk"
"http://data.parliament.uk/members/1753","Richard Lawley",,"Gibbs","Lord Wraxall","Male","George",,,"Biography information for Lord Wraxall",,
"http://data.parliament.uk/members/3454","Tyser",,"Gibbs","Lord Aldenham","Male","Vicary",,,"Biography information for Lord Aldenham",,
