"uri","date","title","uin"
"http://data.parliament.uk/resources/104417","2009-07-01","Parliamentary Standards Bill Question put, That the amendment 32, 33 & 36 be made. Sitting in committee","CD:2009-07-01:175"
"http://data.parliament.uk/resources/104418","2009-07-01","Parliamentary Standards Bill Question put, That the amendment 100 be made. Sitting in committee","CD:2009-07-01:176"
"http://data.parliament.uk/resources/104419","2009-07-01","Parliamentary Standards Bill, Chair put forthwith Qs necessary for disposal of business to be concluded (Prog Order, 29 June & SO 83D ) Question put, That the amendments 39 be made. Sitting in committee","CD:2009-07-01:177"
"http://data.parliament.uk/resources/104420","2009-07-01","Parliamentary Standards Bill, Chair put forthwith Qs necessary for disposal of business to be concluded (Prog Order, 29 June & SO 83D ) Question put, That the amendments 23, 24 & 87 be made. Sitting in committee","CD:2009-07-01:178"
"http://data.parliament.uk/resources/104421","2009-07-01","Parliamentary Standards Bill, Question put the amendment 5 be made","CD:2009-07-01:179"
"http://data.parliament.uk/resources/104411","2009-06-30","Parliamentary Standards Bill Question put, That the amendment 69 be made. Sitting in committee","CD:2009-06-30:169"
"http://data.parliament.uk/resources/104412","2009-06-30","Parliamentary Standards Bill Question put, That the amendment 73 be made. Sitting in committee","CD:2009-06-30:170"
"http://data.parliament.uk/resources/104413","2009-06-30","Parliamentary Standards Bill, Chair put forthwith Qs necessary for disposal of business to be concluded (Prog Order, 29 June & SO 83D ) Question put, That the amendments 2,7,27,29,75-79&82 be made. Sitting in committee","CD:2009-06-30:171"
"http://data.parliament.uk/resources/104409","2009-06-29","Parliamentary Standards Bill, Question put, That the Bill be now read a Second time","CD:2009-06-29:167"
"http://data.parliament.uk/resources/104410","2009-06-29","Parliamentary Standards Bill (programme) Motion made, and Question put forthwith (Standing Order No. 83A) (7))","CD:2009-06-29:168"
"http://data.parliament.uk/resources/104408","2009-06-26","Question put forthwith, pursuant to Standing Order No. 163 (motions to sit in private)","CD:2009-06-26:166"
"http://data.parliament.uk/resources/104399","2009-06-25","Regional Select Committee (London), Question put that Standing Order No. 152F be amended by inserting after paragraph (1)","CD:2009-06-25:157"
"http://data.parliament.uk/resources/104400","2009-06-25","Business without Debate, south west regional grand committee, Motion made, and Question put forthwith (Standing Order No.117A(3))","CD:2009-06-25:158"
"http://data.parliament.uk/resources/104401","2009-06-25","Business without Debate, east midlands regional grand committee, Motion made, and Question put forthwith (Standing Order No.117A(3))","CD:2009-06-25:159"
