"uri","date","title","uin"
"http://data.parliament.uk/resources/518094","2016-05-09","Housing and Planning Bill Lords Amdt 10B: Motion to disagree","CD:2016-05-09:63"
"http://data.parliament.uk/resources/518119","2016-05-09","Housing and Planning Bill Lords Amdt 47B & 47C: Motion to disagree","CD:2016-05-09:64"
"http://data.parliament.uk/resources/518127","2016-05-09","Housing and Planning Bill: Lords Amdt 108: Govt (a) in Lieu","CD:2016-05-09:65"
"http://data.parliament.uk/resources/518128","2016-05-09","Immigration Bill Lords Amendment 85: motion to agree with amendments","CD:2016-05-09:66"
"http://data.parliament.uk/resources/517278","2016-05-04","Opposition Day: NHS Bursaries","CD:2016-05-04:61"
"http://data.parliament.uk/resources/516942","2016-05-03","Housing and Planning Bill Lords Amendment 9: Motion to disagree","CD:2016-05-03:56"
"http://data.parliament.uk/resources/516948","2016-05-03","Housing and Planning Bill Lords Amendment 47: Motion to disagree","CD:2016-05-03:57"
"http://data.parliament.uk/resources/516949","2016-05-03","Housing and Planning Bill Lords Amendment 54: Motion to disagree","CD:2016-05-03:58"
"http://data.parliament.uk/resources/516981","2016-05-03","Housing and Planning Bill Lords Amdt 108: Motion to disagree","CD:2016-05-03:59"
"http://data.parliament.uk/resources/517021","2016-05-03","Housing and Planning Bill Lords Amdt 110: Motion to disagree","CD:2016-05-03:60"
"http://data.parliament.uk/resources/516016","2016-04-27","Trade Union Bill Lords Amendment 2: Govt Amdt (a)","CD:2016-04-27:54"
"http://data.parliament.uk/resources/516017","2016-04-27","Trade Union Bill Lords Amdt 17: Motion to Disagree","CD:2016-04-27:55"
"http://data.parliament.uk/resources/515588","2016-04-26","Policing and Crime Blll Report Stage: Amdt. 3","CD:2016-04-26:49"
"http://data.parliament.uk/resources/515591","2016-04-26","Policing and Crime Bill Report Stage: Amdt 20","CD:2016-04-26:50"
"http://data.parliament.uk/resources/515592","2016-04-26","Policing and Crime Bill Report Stage: Amdt 6","CD:2016-04-26:51"
"http://data.parliament.uk/resources/515603","2016-04-26","Policing and Crime Bill Report Stage: Amdt 13","CD:2016-04-26:52"
"http://data.parliament.uk/resources/515604","2016-04-26","Policing and Crime Bill Report Stage: Amdt 10","CD:2016-04-26:53"
"http://data.parliament.uk/resources/515179","2016-04-25","Immigration Bill Lords Amdt 87: Motion to disagree","CD:2016-04-25:44"
"http://data.parliament.uk/resources/515180","2016-04-25","Immigration Bill Lords Amdt 60: Motion to disagree","CD:2016-04-25:45"
"http://data.parliament.uk/resources/515181","2016-04-25","Immigration Bill Lords Amdt 84: Motion to disagree","CD:2016-04-25:46"
"http://data.parliament.uk/resources/515182","2016-04-25","Immigration Bill Lords Amendment 85: Motion to disagree","CD:2016-04-25:47"
"http://data.parliament.uk/resources/515183","2016-04-25","Immigration Bill Lords Amendment 59: Motion to disagree","CD:2016-04-25:48"
"http://data.parliament.uk/resources/514184","2016-04-20","Energy Bill: Lords amendment 7T ","CD:2016-04-20:41"
"http://data.parliament.uk/resources/514196","2016-04-20","Daesh: Genocide of Minorities","CD:2016-04-20:42"
"http://data.parliament.uk/resources/514238","2016-04-20","Record Copies of Act","CD:2016-04-20:43"
"http://data.parliament.uk/resources/513792","2016-04-19","Bank of England Bill Report Stage: New Clause 2","CD:2016-04-19:36"
"http://data.parliament.uk/resources/513799","2016-04-19","Bank of England Bill Report Stage: New Clause 14","CD:2016-04-19:37"
"http://data.parliament.uk/resources/513800","2016-04-19","Bank of England Bill Report Stage: Amdt 8","CD:2016-04-19:38"
"http://data.parliament.uk/resources/513801","2016-04-19","Bank of England Bill Report Stage: Amdt 4","CD:2016-04-19:39"
"http://data.parliament.uk/resources/513802","2016-04-19","Bank of England and Financial Services (Third Reading) Bill","CD:2016-04-19:40"
"http://data.parliament.uk/resources/511672","2016-04-13","Employment Agencies, Etc.","CD:2016-04-13:32"
"http://data.parliament.uk/resources/511673","2016-04-13","Opposition Day: Tax avoidance and evasion","CD:2016-04-13:33"
"http://data.parliament.uk/resources/511680","2016-04-13","Opposition Day Motion - Schools White Paper: Prime Ministers Amendment","CD:2016-04-13:34"
"http://data.parliament.uk/resources/511681","2016-04-13","Opposition Day - Schools White Paper Main question, as amended","CD:2016-04-13:35"
"http://data.parliament.uk/resources/509950","2016-04-11","Finance (no. 2) Bill Second Reading","CD:2016-04-11:31"
"http://data.parliament.uk/resources/486079","2016-03-23","HS2: report stage: NC 20","CD:2016-03-23:26"
"http://data.parliament.uk/resources/486080","2016-03-23","HS2: report stage: NC 8","CD:2016-03-23:27"
"http://data.parliament.uk/resources/486081","2016-03-23","High Speed Rail Bill Report Stage: New Clause 22","CD:2016-03-23:28"
"http://data.parliament.uk/resources/486082","2016-03-23","Public Service Pensions","CD:2016-03-23:25"
"http://data.parliament.uk/resources/486083","2016-03-23","HS2: report stage: Third Reading","CD:2016-03-23:29"
"http://data.parliament.uk/resources/486084","2016-03-23","Electricity","CD:2016-03-23:24"
"http://data.parliament.uk/resources/486085","2016-03-23","s5 European Communities (Amendment) Act 1993","CD:2016-03-23:30"
"http://data.parliament.uk/resources/486075","2016-03-22","Budget Resolutions: Amendment of the Law","CD:2016-03-22:19"
"http://data.parliament.uk/resources/486076","2016-03-22","Budget Resolutions: Motion 8","CD:2016-03-22:20"
"http://data.parliament.uk/resources/486077","2016-03-22","Budget Motion 38: Capital Gains Tax","CD:2016-03-22:21"
"http://data.parliament.uk/resources/486078","2016-03-22","Budget Resolution Motion 56: Insurance Premium Tax","CD:2016-03-22:22"
"http://data.parliament.uk/resources/486086","2016-03-22","Procedure: Future Taxation (Landfill Tax)","CD:2016-03-22:23"
"http://data.parliament.uk/resources/486074","2016-03-15","INVESTIGATORY POWERS BILL: SECOND READING","CD:2016-03-15:18"
"http://data.parliament.uk/resources/483354","2016-03-14","Energy Bill: amendment 8","CD:2016-03-14:13"
"http://data.parliament.uk/resources/483355","2016-03-14","Energy Bill (Lords) Report Stage: New Clause 3","CD:2016-03-14:14"
"http://data.parliament.uk/resources/483356","2016-03-14","Energy Bill (Lords) Report Stage: New Clause 8","CD:2016-03-14:15"
"http://data.parliament.uk/resources/486071","2016-03-14","Energy Bill (Lord) Report Stage: New Clause 10","CD:2016-03-14:16"
"http://data.parliament.uk/resources/486072","2016-03-14","Energy Bill: amendment 24","CD:2016-03-14:12"
"http://data.parliament.uk/resources/486073","2016-03-14","Tax Credits SI","CD:2016-03-14:17"
"http://data.parliament.uk/resources/483353","2016-03-09","Immigration (Affirmative SI)","CD:2016-03-09:2"
"http://data.parliament.uk/resources/229689","2015-03-26","Elections for positions in the House. Motion made and Question put That this House notes the recommendation of the Procedure Committee in its Fifth Report of Session 2010–12, 2010 Elections for positions in the House [see V&P]. Q acc negatived.","CD:2015-03-26:188"
"http://data.parliament.uk/resources/229684","2015-03-25","Statutory Instruments: Motion for Approval. That the draft Infrastructure Planning (Radioactive Waste Geological Disposal Facilities) Order 2015, which was laid before this House on 12 January, be approved. Q acc agreed to.","CD:2015-03-25:183"
"http://data.parliament.uk/resources/229685","2015-03-25","Finance (No. 2) Bill: Committee of the whole House: New Clause NC1 brought up, and read the first time. Question put, That the Clause be read a second time. Q acc negatived.","CD:2015-03-25:184"
"http://data.parliament.uk/resources/229686","2015-03-25","Finance (No. 2) Bill: Committee of the whole House. Amendment 1 proposed. Question put, That the Amendment be made. Q acc negatived.","CD:2015-03-25:185"
"http://data.parliament.uk/resources/229687","2015-03-25","Finance (No. 2) Bill: Committee of the whole House. Amendment 2 proposed. Question put, That the Amendment be made. Q acc negatived.","CD:2015-03-25:186"
"http://data.parliament.uk/resources/229688","2015-03-25","Finance (No. 2) Bill: Third Reading. Question put, That the Bill be read the third time. Q acc agreed to.","CD:2015-03-25:187"
"http://data.parliament.uk/resources/229683","2015-03-24","Section 5 of the European Communities (Amendment) Act 1993: Motion made and Question put, That this House approves the Government’s assessment as set out in Budget 2015 and Autumn Statement 2014. Q acc agreed to.","CD:2015-03-24:182"
"http://data.parliament.uk/resources/229680","2015-03-23","Budget resolutions and economic situation. Q acc agreed to.","CD:2015-03-23:179"
"http://data.parliament.uk/resources/229681","2015-03-23","Budget resolutions and economic situation: Income tax (charge and main rates.) Q acc agreed to.","CD:2015-03-23:180"
"http://data.parliament.uk/resources/229682","2015-03-23","Budget Resolutions and economic situation: Corporation tax (charge and main rate for financial year 2016.) Q acc agreed to.","CD:2015-03-23:181"
"http://data.parliament.uk/resources/229270","2015-03-17","Modern Slavery Bill: Consideration of Lords Amendments. Lords Amendment 72. Motion made and Question put, That this House disagrees with the Lords in their Amendment 72. Question accordingly agreed to.","CD:2015-03-17:178"
"http://data.parliament.uk/resources/229268","2015-03-16","Transport for London Bill [Lords]: Consideration of Bill, as amended. New Clause NC1 brought up, and read the first time. Question put, That the Question be now proposed. Q acc agreed to.","CD:2015-03-16:176"
"http://data.parliament.uk/resources/229269","2015-03-16","Transport for London Bill [Lords]: Question accordingly proposed, That the new Clause be read a second time. Q acc negatived.","CD:2015-03-16:177"
"http://data.parliament.uk/resources/227632","2015-03-12","Backbench Business debate: Defence spending Motion made and Question put, That this House believes that defence spending should be set to a minimum of two per cent of GDP in accordance with the UK’s NATO commitment. Question accordingly agreed to.","CD:2015-03-12:175"
"http://data.parliament.uk/resources/227631","2015-03-11","That the draft Standardised Packaging of Tobacco Products Regulations 2015, which were laid before this House on 23 February, be approved. Question accordingly agreed to.","CD:2015-03-11:174"
"http://data.parliament.uk/resources/227630","2015-03-10","Deregulation Bill: Lords Amendment 27. Question put, That the Amendment be made. Question accordingly negatived.","CD:2015-03-10:173"
"http://data.parliament.uk/resources/227629","2015-03-09","Consumer Rights Bill: Consideration of Lords Message. Motion made and Question put, That this House agrees with the Lords in their Amendment 12J in lieu of Lords Amendment 12, to which this House has disagreed. Q acc agreed to.","CD:2015-03-09:172"
"http://data.parliament.uk/resources/226117","2015-03-06","Motion to sit in private. Jonathan Evans moved, That the House sit in private. Question put forthwith (Standing Order No. 163). Q acc negatived.","CD:2015-03-06:169"
"http://data.parliament.uk/resources/226118","2015-03-06","House of Lords (Expulsion and Suspension) Bill [Lords]: Further consideration of the Bill. Question put, That Amendment 6 be made. Q acc negatived.","CD:2015-03-06:170"
