"uri","date","title","uin"
"http://data.parliament.uk/resources/105418","2013-06-04","Energy Bill: Consideration of the Bill, as amended in the PBC (2nd allocated day). Third reading proposed. Question put, that the Bill now be read a third time. Question accordingly agreed to.","CD:2013-06-04:20"
"http://data.parliament.uk/resources/105410","2013-06-03","Energy Bill: Consideration of the Bill, as amended in the PBC (1st allocated day). That NC5 be added to the Bill (new Clause selected by the Speaker for separate decision). Question accordingly negatived.","CD:2013-06-03:12"
"http://data.parliament.uk/resources/105411","2013-06-03","Energy Bill: Consideration of the Bill, as amended in the PBC (1st allocated day). That Amendment 24 be made (Amendment selected by the Speaker for separate decision). Question accordingly negatived.","CD:2013-06-03:13"
"http://data.parliament.uk/resources/105412","2013-06-03","Energy Bill: Consideration of the Bill, as amended in the PBC (1st allocated day). That Amendment 179 be made (Amendment selected by the Speaker for separate decision). Question accordingly negatived.","CD:2013-06-03:14"
"http://data.parliament.uk/resources/105413","2013-06-03","Energy Bill: Consideration of the Bill, as amended in the PBC (1st allocated day). That Amendment 9 be made (Amendment selected by the Speaker for separate decision). Question accordingly negatived.","CD:2013-06-03:15"
"http://data.parliament.uk/resources/105414","2013-06-03","Energy Bill: Consideration of the Bill, as amended in the PBC (1st allocated day). Amendment 2 proposed. Question put, That the Amendment be made. Question accordingly negatived.","CD:2013-06-03:16"
"http://data.parliament.uk/resources/105415","2013-06-03","Energy Bill: Consideration of the Bill, as amended in the PBC (1st allocated day). Amendment 3 proposed. Question put, That the Amendment be made. Question accordingly negatived.","CD:2013-06-03:17"
"http://data.parliament.uk/resources/105409","2013-05-21","Marriage (Same Sex Couples) Bill: Third Reading. Question, That the Bill be now read the third time, put forthwith (Standing Order No. 83E). Question accordingly agreed to. Bill accordingly read the third time, and passed.","CD:2013-05-21:11"
"http://data.parliament.uk/resources/105404","2013-05-20","Marriage (Same Sex Couples) Bill: Consideration of the Bill, not amended in the PBC (1st allocated day. That New Clause NC3 be added to the Bill (New clause selected for separate decision). Question accordingly negatived.","CD:2013-05-20:6"
"http://data.parliament.uk/resources/105405","2013-05-20","Marriage (Same Sex Couples) Bill: Consideration of the Bill, not amended in the PBC (1st allocated day. That New Clause NC6 be added to the Bill (New clause selected for separate decision). Question accordingly negatived.","CD:2013-05-20:7"
