"uri","date","title","uin"
"http://data.parliament.uk/resources/1109592","2019-04-03","European Union (Withdrawal) (No.5) Bill Committee NC4 - Cash","CD:2019-04-03:677"
"http://data.parliament.uk/resources/1108990","2019-04-02","draft Geo-Blocking Regulation (Revocation) (EU Exit) Regulations 2019","CD:2019-04-02:670"
"http://data.parliament.uk/resources/1108643","2019-04-01","Business of the House motion","CD:2019-04-01:665"
"http://data.parliament.uk/resources/1108904","2019-04-01","Nick Boles's motion D (Common Market 2.0)","CD:2019-04-01:667"
"http://data.parliament.uk/resources/1108905","2019-04-01","Mr Clarke's motion C (Customs Union)","CD:2019-04-01:666"
"http://data.parliament.uk/resources/1108906","2019-04-01","Peter Kyle's motion E (Confirmatory public vote)","CD:2019-04-01:668"
"http://data.parliament.uk/resources/1108907","2019-04-01","Joanna Cherry's motion G (Parliamentary Supremacy)","CD:2019-04-01:669"
"http://data.parliament.uk/resources/1107737","2019-03-29","United Kingdom's withdrawal from the European Union","CD:2019-03-29:664"
"http://data.parliament.uk/resources/1105403","2019-03-27","Business of the House motion","CD:2019-03-27:654"
"http://data.parliament.uk/resources/1105521","2019-03-27","Mr Baron's motion B (No deal)","CD:2019-03-27:655"
"http://data.parliament.uk/resources/1105524","2019-03-27","Nick Boles's motion D (Common market 2.0)","CD:2019-03-27:656"
"http://data.parliament.uk/resources/1105526","2019-03-27","George Eustice's motion H (EFTA and EEA)","CD:2019-03-27:657"
"http://data.parliament.uk/resources/1105527","2019-03-27","Mr Clarke's motion J (Customs union)","CD:2019-03-27:658"
"http://data.parliament.uk/resources/1105529","2019-03-27","Jeremy Corbyn's motion K (Labour's alternative plan)","CD:2019-03-27:659"
"http://data.parliament.uk/resources/1105530","2019-03-27","Joanna Cherry's motion L (Revocation to avoid no deal)","CD:2019-03-27:660"
"http://data.parliament.uk/resources/1105532","2019-03-27","Margaret Beckett's motion M (Confirmatory public vote)","CD:2019-03-27:661"
"http://data.parliament.uk/resources/1105533","2019-03-27","Mr Fysh's motion O (Contingent preferential arrangements)","CD:2019-03-27:662"
"http://data.parliament.uk/resources/1105759","2019-03-27","Draft European Union (Withdrawal) Act 2018 (Exit Day) (Amendment) Regulations 2019","CD:2019-03-27:663"
"http://data.parliament.uk/resources/1105760","2019-03-27","Draft Relationships Education, Relationships and Sex Education and Health Education (England) Regulations 2019","CD:2019-03-27:650"
"http://data.parliament.uk/resources/1105761","2019-03-27","Draft Animal Welfare (Amendment) (EU Exit) Regulations 2019","CD:2019-03-27:651"
"http://data.parliament.uk/resources/1105762","2019-03-27","Draft Rural Development (Amendment) (EU Exit) Regulations 2019","CD:2019-03-27:652"
"http://data.parliament.uk/resources/1105763","2019-03-27","Draft Rural Development (Rules and Decisions) (Amendment) (EU Exit) Regulations 2019","CD:2019-03-27:653"
"http://data.parliament.uk/resources/1105075","2019-03-26","Offensive Weapons Bill: Louise Haigh's amendment (a) to Lords Amendment 23","CD:2019-03-26:645"
"http://data.parliament.uk/resources/1105078","2019-03-26","Section 5 of the European Communities (Amendment) Act 1993: Alison Thewliss's amendment","CD:2019-03-26:646"
"http://data.parliament.uk/resources/1105079","2019-03-26","Section 5 of the European Communities (Amendment) Act 1993","CD:2019-03-26:647"
"http://data.parliament.uk/resources/1105082","2019-03-26","Draft Customs Safety and Security Procedures (EU Exit) Regulations 2019","CD:2019-03-26:649"
"http://data.parliament.uk/resources/1105083","2019-03-26","Draft Common Fisheries Policy and Aquaculture (Amendment etc.) (EU Exit) Regulations 2019","CD:2019-03-26:648"
"http://data.parliament.uk/resources/1104623","2019-03-25","European Union Withdrawal Act Amendment (a) - Letwin","CD:2019-03-25:642"
"http://data.parliament.uk/resources/1104688","2019-03-25","European Union Withdrawal Act Amendment (f) - Beckett","CD:2019-03-25:643"
"http://data.parliament.uk/resources/1104689","2019-03-25","European Union Withdrawal Act main Motion as amended","CD:2019-03-25:644"
