"uri","date","title","uin"
"http://data.parliament.uk/resources/1045808","2019-01-22","Draft Higher Education (Fee Limits for Accelerated Courses) (England) Regulations 2018","CD:2019-01-22:571"
"http://data.parliament.uk/resources/1045809","2019-01-22","Draft Crown Dependencies (Customs Union) (Jersey) (EU Exit) Order 2018","CD:2019-01-22:570"
"http://data.parliament.uk/resources/1044965","2019-01-21","Healthcare (International Arrangements) Bill Report Stage New Clause 1","CD:2019-01-21:566"
"http://data.parliament.uk/resources/1044975","2019-01-21","Healthcare (International Arrangements) Bill Report Stage Amendment 1","CD:2019-01-21:567"
"http://data.parliament.uk/resources/1042245","2019-01-16","draft Energy Efficiency (Private Rented Property) (England and Wales) (Amendment) Regulations 2018","CD:2019-01-16:563"
"http://data.parliament.uk/resources/1042246","2019-01-16","UK participation in the EU Agency for Criminal Justice Cooperation (Eurojust): Post-adoption opt-in decision ","CD:2019-01-16:564"
"http://data.parliament.uk/resources/1042258","2019-01-16","No confidence in Her Majesty's Government","CD:2019-01-16:565"
"http://data.parliament.uk/resources/1041564","2019-01-15","European Union (Withdrawal) Act Amdt (f) - Baron","CD:2019-01-15:561"
"http://data.parliament.uk/resources/1041567","2019-01-15","European Union (Withdrawal) Act main Motion (Prime Minister)","CD:2019-01-15:562"
"http://data.parliament.uk/resources/1038059","2019-01-09","Grieve amendment to Business of the House (Section 13(1)(b) of the European Union (Withdrawal) Act 2018) (No. 2)","CD:2019-01-09:560"
"http://data.parliament.uk/resources/1037337","2019-01-08","Finance (No.3) Bill report stage: New Clause 1","CD:2019-01-08:554"
"http://data.parliament.uk/resources/1037342","2019-01-08","Finance (No.3) Bill report stage: Amendment 7","CD:2019-01-08:556"
"http://data.parliament.uk/resources/1037344","2019-01-08","Finance (No.3) Bill report stage: Amendment 8","CD:2019-01-08:557"
"http://data.parliament.uk/resources/1037346","2019-01-08","Finance (No.3) Bill report stage: New Clause 3","CD:2019-01-08:555"
