"uri","date","title","uin"
"http://data.parliament.uk/resources/102917","2004-03-08","European Parliamentary and Local Elections (Pilots) Bill","CD:2004-03-08:79"
"http://data.parliament.uk/resources/102909","2004-03-03","Deferred Division","CD:2004-03-03:71"
"http://data.parliament.uk/resources/102910","2004-03-03","Trade Justice for the Developing World","CD:2004-03-03:72"
"http://data.parliament.uk/resources/102911","2004-03-03","Protection of Vulnerable Children","CD:2004-03-03:73"
"http://data.parliament.uk/resources/102912","2004-03-03","Protection of Vulnerable Children","CD:2004-03-03:74"
"http://data.parliament.uk/resources/102913","2004-03-03","Protection of Vulnerable Children","CD:2004-03-03:75"
"http://data.parliament.uk/resources/102906","2004-03-02","Pensions Bill","CD:2004-03-02:68"
"http://data.parliament.uk/resources/102907","2004-03-02","Pensions Bill","CD:2004-03-02:69"
"http://data.parliament.uk/resources/102908","2004-03-02","Pensions Bill","CD:2004-03-02:70"
"http://data.parliament.uk/resources/102899","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:61"
"http://data.parliament.uk/resources/102900","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:62"
"http://data.parliament.uk/resources/102901","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:63"
"http://data.parliament.uk/resources/102902","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:64"
"http://data.parliament.uk/resources/102903","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:65"
"http://data.parliament.uk/resources/102904","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:66"
"http://data.parliament.uk/resources/102905","2004-03-01","Asylum and Immigration (Treatment of Claimants, Etc.) Bill","CD:2004-03-01:67"
"http://data.parliament.uk/resources/102898","2004-02-26","Employment Relations Bill [Money]","CD:2004-02-26:60"
"http://data.parliament.uk/resources/102896","2004-02-25","School Admissions (Prohibition of Religious Discrimination","CD:2004-02-25:58"
"http://data.parliament.uk/resources/102897","2004-02-25","Anti-terrorism, Crime and Security","CD:2004-02-25:59"
"http://data.parliament.uk/resources/102894","2004-02-24","Pension Scheme Wind-ups","CD:2004-02-24:56"
"http://data.parliament.uk/resources/102895","2004-02-24","Pension Scheme Wind-ups","CD:2004-02-24:57"
"http://data.parliament.uk/resources/102893","2004-02-23","Gender Recognition Bill","CD:2004-02-23:55"
"http://data.parliament.uk/resources/102890","2004-02-11","Northern Ireland","CD:2004-02-11:52"
"http://data.parliament.uk/resources/102891","2004-02-11","Regional Assemblies","CD:2004-02-11:53"
"http://data.parliament.uk/resources/102892","2004-02-11","Regional Assemblies","CD:2004-02-11:54"
"http://data.parliament.uk/resources/102888","2004-02-10","The Environment","CD:2004-02-10:50"
"http://data.parliament.uk/resources/102889","2004-02-10","Local Taxation","CD:2004-02-10:51"
"http://data.parliament.uk/resources/102885","2004-02-09","Scottish Parliament (Constituencies) Bill","CD:2004-02-09:47"
"http://data.parliament.uk/resources/102886","2004-02-09","Scottish Parliament (Constituencies) Bill","CD:2004-02-09:48"
"http://data.parliament.uk/resources/102887","2004-02-09","Scottish Parliament (Constituencies) Bill","CD:2004-02-09:49"
"http://data.parliament.uk/resources/102882","2004-02-05","Higher Education Bill (Programme) (No. 2)","CD:2004-02-05:44"
"http://data.parliament.uk/resources/102883","2004-02-05","Police","CD:2004-02-05:45"
"http://data.parliament.uk/resources/102884","2004-02-05","Local Government Finance","CD:2004-02-05:46"
"http://data.parliament.uk/resources/102880","2004-02-03","Child Trust Funds Bill","CD:2004-02-03:42"
"http://data.parliament.uk/resources/102881","2004-02-03","Child Trust Funds Bill","CD:2004-02-03:43"
"http://data.parliament.uk/resources/102878","2004-02-02","Horserace Betting and Olympic Lottery Bill","CD:2004-02-02:40"
"http://data.parliament.uk/resources/102879","2004-02-02","Horserace Betting and Olympic Lottery Bill","CD:2004-02-02:41"
"http://data.parliament.uk/resources/102876","2004-01-27","Higher Education Bill","CD:2004-01-27:38"
"http://data.parliament.uk/resources/102877","2004-01-27","Higher Education Bill","CD:2004-01-27:39"
"http://data.parliament.uk/resources/102875","2004-01-26","Fire and Rescue Services Bill","CD:2004-01-26:37"
"http://data.parliament.uk/resources/102872","2004-01-21","Case for a Civil Service Bill","CD:2004-01-21:34"
"http://data.parliament.uk/resources/102873","2004-01-21","Scottish Constituencies (Members' Voting Rights)","CD:2004-01-21:35"
"http://data.parliament.uk/resources/102874","2004-01-21","Scottish Constituencies (Members' Voting Rights)","CD:2004-01-21:36"
"http://data.parliament.uk/resources/102871","2004-01-20","Crown Employment (Nationality)","CD:2004-01-20:33"
"http://data.parliament.uk/resources/102870","2004-01-19","Civil Contingencies Bill","CD:2004-01-19:32"
"http://data.parliament.uk/resources/102868","2004-01-14","Employment Relations Bill","CD:2004-01-14:30"
"http://data.parliament.uk/resources/102869","2004-01-14","Employment Relations Bill","CD:2004-01-14:31"
"http://data.parliament.uk/resources/102865","2004-01-13","National Audit Office Report on Operation Telic","CD:2004-01-13:27"
"http://data.parliament.uk/resources/102866","2004-01-13","Future of the Post Office Network","CD:2004-01-13:28"
"http://data.parliament.uk/resources/102867","2004-01-13","Future of the Post Office Network","CD:2004-01-13:29"
"http://data.parliament.uk/resources/102863","2004-01-12","Housing Bill","CD:2004-01-12:25"
"http://data.parliament.uk/resources/102864","2004-01-12","Housing Bill","CD:2004-01-12:26"
"http://data.parliament.uk/resources/102862","2004-01-08","Horserace Betting and Olympic Lottery Bill","CD:2004-01-08:24"
"http://data.parliament.uk/resources/102860","2004-01-07","NHS Performance Indicators","CD:2004-01-07:22"
"http://data.parliament.uk/resources/102861","2004-01-07","Care Homes","CD:2004-01-07:23"
