"uri","date","title","uin"
"http://data.parliament.uk/resources/103915","2007-12-03","Child Maintenance and Other Payments Bill, motion made and that the clause be read a Second time","CD:2007-12-03:16"
"http://data.parliament.uk/resources/103916","2007-12-03","Child Maintenance and Other Payments Bill, brought up and read That the clause be read a Second time","CD:2007-12-03:17"
"http://data.parliament.uk/resources/103917","2007-12-03","Child Maintenance and Other Payments Bill, That the amendment be made","CD:2007-12-03:18"
"http://data.parliament.uk/resources/103913","2007-11-29","Apprenticeships (England), That the amendment be made","CD:2007-11-29:14"
"http://data.parliament.uk/resources/103909","2007-11-28","Global navigation satellite systen and the European Institute of Technology, Motion","CD:2007-11-28:10"
"http://data.parliament.uk/resources/103910","2007-11-28","HM Revenue and Customs, That the original words stand part of the Question","CD:2007-11-28:11"
"http://data.parliament.uk/resources/103911","2007-11-28","HM Revenue and Customs, That the original words stand part of the Question","CD:2007-11-28:12"
"http://data.parliament.uk/resources/103912","2007-11-28","HM Revenue and Customs, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)","CD:2007-11-28:13"
"http://data.parliament.uk/resources/103908","2007-11-27","Housing and Regeneration Bill, That the amendment be made","CD:2007-11-27:9"
"http://data.parliament.uk/resources/103905","2007-11-21","Schools Reform, That the original words stand part of the Question","CD:2007-11-21:6"
"http://data.parliament.uk/resources/103906","2007-11-21","Health Care-Associated Infections, That the original words stand part of the Question","CD:2007-11-21:7"
"http://data.parliament.uk/resources/103907","2007-11-21","Health Care-Associated Infections, That the proposed words be there added , put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)","CD:2007-11-21:8"
"http://data.parliament.uk/resources/103904","2007-11-19","European Communities (Finance) Bill, That the Bill be now read a Second time","CD:2007-11-19:5"
"http://data.parliament.uk/resources/103901","2007-11-14","The Economy and Pensions","CD:2007-11-14:2"
"http://data.parliament.uk/resources/103902","2007-11-14","The Economy and Pensions, Standing Order No. 33 (Calling of amendments at end of debate)","CD:2007-11-14:3"
"http://data.parliament.uk/resources/103903","2007-11-14","The Economy and Pensions, Main Question","CD:2007-11-14:4"
"http://data.parliament.uk/resources/103900","2007-11-13","Health and Education, Standing Order No. 33 (Calling of amendments at end of debate)","CD:2007-11-13:1"
"http://data.parliament.uk/resources/103899","2007-10-29","UK Borders Bill","CD:2007-10-29:221"
"http://data.parliament.uk/resources/103898","2007-10-25","Governance of Britain","CD:2007-10-25:220"
"http://data.parliament.uk/resources/103894","2007-10-24","Legal Services Bill [ Lords]","CD:2007-10-24:216"
"http://data.parliament.uk/resources/103895","2007-10-24","Legal Services Bill [ Lords]","CD:2007-10-24:217"
"http://data.parliament.uk/resources/103896","2007-10-24","Local Government and Public Involvement in Health Bill (Programme) (No. 3","CD:2007-10-24:218"
"http://data.parliament.uk/resources/103897","2007-10-24","Standing Order No. 118(6) (Delegated Legislation Committees) Transport Fuel Obligations Order 2007","CD:2007-10-24:219"
"http://data.parliament.uk/resources/103891","2007-10-22","Serious Crime Bill","CD:2007-10-22:213"
"http://data.parliament.uk/resources/103892","2007-10-22","Serious Crime Bill","CD:2007-10-22:214"
"http://data.parliament.uk/resources/103893","2007-10-22","Serious Crime Bill","CD:2007-10-22:215"
"http://data.parliament.uk/resources/103890","2007-10-19","Standing Order No. 163 (Motions to sit in private)","CD:2007-10-19:212"
"http://data.parliament.uk/resources/103889","2007-10-17","Foot and Mouth/Bluetongue","CD:2007-10-17:211"
"http://data.parliament.uk/resources/103887","2007-10-15","Clostridium Difficile","CD:2007-10-15:209"
"http://data.parliament.uk/resources/103888","2007-10-15","Clostridium Difficile","CD:2007-10-15:210"
"http://data.parliament.uk/resources/103886","2007-10-11","Greater London Authority Bill","CD:2007-10-11:208"
"http://data.parliament.uk/resources/103883","2007-10-10","Department for Children, Schools and Families","CD:2007-10-10:205"
"http://data.parliament.uk/resources/103884","2007-10-10","Department for Children, Schools and Families","CD:2007-10-10:206"
"http://data.parliament.uk/resources/103885","2007-10-10","Department for Children, Schools and Families","CD:2007-10-10:207"
"http://data.parliament.uk/resources/103881","2007-10-08","Criminal Justice and Immigration Bill","CD:2007-10-08:203"
"http://data.parliament.uk/resources/103882","2007-10-08","Criminal Justice and Immigration Bill","CD:2007-10-08:204"
"http://data.parliament.uk/resources/103877","2007-07-25","Immigration","CD:2007-07-25:199"
