"uri","date","title","uin"
"http://data.parliament.uk/resources/103416","2005-11-08","Electoral Administration Bill","CD:2005-11-08:82"
"http://data.parliament.uk/resources/103413","2005-11-07","Council Tax (New Valuation Lists for England) Bill","CD:2005-11-07:79"
"http://data.parliament.uk/resources/103414","2005-11-07","Council Tax (New Valuation Lists for England) Bill","CD:2005-11-07:80"
"http://data.parliament.uk/resources/103410","2005-11-03","Terrorism Bill","CD:2005-11-03:76"
"http://data.parliament.uk/resources/103411","2005-11-03","Terrorism Bill","CD:2005-11-03:77"
"http://data.parliament.uk/resources/103412","2005-11-03","Terrorism Bill","CD:2005-11-03:78"
"http://data.parliament.uk/resources/103407","2005-11-02","Terrorism Bill","CD:2005-11-02:73"
"http://data.parliament.uk/resources/103408","2005-11-02","Terrorism Bill","CD:2005-11-02:74"
"http://data.parliament.uk/resources/103409","2005-11-02","Terrorism Bill","CD:2005-11-02:75"
"http://data.parliament.uk/resources/103406","2005-10-28","Council Tax","CD:2005-10-28:72"
"http://data.parliament.uk/resources/103404","2005-10-26","Terrorism Bill","CD:2005-10-26:70"
"http://data.parliament.uk/resources/103405","2005-10-26","Terrorism Bill","CD:2005-10-26:71"
"http://data.parliament.uk/resources/103403","2005-10-25","Electoral Administration Bill","CD:2005-10-25:69"
"http://data.parliament.uk/resources/103399","2005-10-24","Railtrack","CD:2005-10-24:65"
"http://data.parliament.uk/resources/103400","2005-10-24","Railtrack","CD:2005-10-24:66"
"http://data.parliament.uk/resources/103401","2005-10-24","Licensing Laws","CD:2005-10-24:67"
"http://data.parliament.uk/resources/103402","2005-10-24","Licensing Laws","CD:2005-10-24:68"
"http://data.parliament.uk/resources/103398","2005-10-21","Armed Forces (Parliamentary Approval for Participation in Armed Conflict) Bill","CD:2005-10-21:64"
"http://data.parliament.uk/resources/103395","2005-10-19","Deferred Division","CD:2005-10-19:61"
"http://data.parliament.uk/resources/103396","2005-10-19","Council Tax Revaluation","CD:2005-10-19:62"
"http://data.parliament.uk/resources/103397","2005-10-19","Emergency Preparedness","CD:2005-10-19:63"
"http://data.parliament.uk/resources/103389","2005-10-18","Identity Cards Bill (Programme) (No. 3)","CD:2005-10-18:55"
"http://data.parliament.uk/resources/103390","2005-10-18","Identity Cards Bill","CD:2005-10-18:56"
"http://data.parliament.uk/resources/103391","2005-10-18","Identity Cards Bill","CD:2005-10-18:57"
"http://data.parliament.uk/resources/103392","2005-10-18","Identity Cards Bill","CD:2005-10-18:58"
"http://data.parliament.uk/resources/103393","2005-10-18","Identity Cards Bill","CD:2005-10-18:59"
"http://data.parliament.uk/resources/103394","2005-10-18","Identity Cards Bill","CD:2005-10-18:60"
"http://data.parliament.uk/resources/103387","2005-10-12","Emergency Services (Regionalisation)","CD:2005-10-12:53"
"http://data.parliament.uk/resources/103388","2005-10-12","Tackling Climate Change","CD:2005-10-12:54"
"http://data.parliament.uk/resources/103385","2005-10-11","Natural Environment and Rural Communities Bill","CD:2005-10-11:51"
"http://data.parliament.uk/resources/103386","2005-10-11","Natural Environment and Rural Communities Bill","CD:2005-10-11:52"
"http://data.parliament.uk/resources/103382","2005-10-10","Civil Aviation Bill","CD:2005-10-10:48"
"http://data.parliament.uk/resources/103383","2005-10-10","Civil Aviation Bill","CD:2005-10-10:49"
"http://data.parliament.uk/resources/103384","2005-10-10","Civil Aviation Bill","CD:2005-10-10:50"
"http://data.parliament.uk/resources/103380","2005-07-20","Deferred Division","CD:2005-07-20:46"
"http://data.parliament.uk/resources/103381","2005-07-20","Council Tax","CD:2005-07-20:47"
"http://data.parliament.uk/resources/103378","2005-07-19","Crossrail Bill","CD:2005-07-19:44"
"http://data.parliament.uk/resources/103379","2005-07-19","Crossrail Bill","CD:2005-07-19:45"
"http://data.parliament.uk/resources/103377","2005-07-14","Consumer Credit Bill","CD:2005-07-14:43"
"http://data.parliament.uk/resources/103372","2005-07-13","Administration Committee","CD:2005-07-13:38"
"http://data.parliament.uk/resources/103373","2005-07-13","Administration Committee","CD:2005-07-13:39"
"http://data.parliament.uk/resources/103374","2005-07-13","Administration Committee","CD:2005-07-13:40"
"http://data.parliament.uk/resources/103375","2005-07-13","Administration Committee","CD:2005-07-13:41"
"http://data.parliament.uk/resources/103376","2005-07-13","Administration Committee","CD:2005-07-13:42"
"http://data.parliament.uk/resources/103370","2005-07-12","Tax Credits","CD:2005-07-12:36"
"http://data.parliament.uk/resources/103371","2005-07-12","Licensing Act 2003","CD:2005-07-12:37"
"http://data.parliament.uk/resources/103368","2005-07-11","Racial and Religious Hatred Bill","CD:2005-07-11:34"
"http://data.parliament.uk/resources/103369","2005-07-11","Racial and Religious Hatred Bill","CD:2005-07-11:35"
"http://data.parliament.uk/resources/103364","2005-07-06","Finance Bill","CD:2005-07-06:30"
"http://data.parliament.uk/resources/103365","2005-07-06","Finance Bill","CD:2005-07-06:31"
"http://data.parliament.uk/resources/103366","2005-07-06","Finance Bill","CD:2005-07-06:32"
"http://data.parliament.uk/resources/103367","2005-07-06","Finance Bill","CD:2005-07-06:33"
"http://data.parliament.uk/resources/103363","2005-07-05","Immigration, Asylum and Nationality Bill","CD:2005-07-05:29"
"http://data.parliament.uk/resources/103359","2005-07-04","Local Taxation","CD:2005-07-04:25"
"http://data.parliament.uk/resources/103360","2005-07-04","Local Taxation","CD:2005-07-04:26"
"http://data.parliament.uk/resources/103361","2005-07-04","Government Regulation","CD:2005-07-04:27"
"http://data.parliament.uk/resources/103362","2005-07-04","Government Regulation","CD:2005-07-04:28"
"http://data.parliament.uk/resources/103357","2005-06-29","NHS Dentistry and Primary Health Care","CD:2005-06-29:23"
"http://data.parliament.uk/resources/103358","2005-06-29","Climate Change (G8 Summit)","CD:2005-06-29:24"
"http://data.parliament.uk/resources/103354","2005-06-28","Identity Cards Bill","CD:2005-06-28:20"
"http://data.parliament.uk/resources/103355","2005-06-28","Identity Cards Bill","CD:2005-06-28:21"
"http://data.parliament.uk/resources/103356","2005-06-28","Identity Cards Bill","CD:2005-06-28:22"
"http://data.parliament.uk/resources/103351","2005-06-22","Special Schools and Special Educational Needs","CD:2005-06-22:17"
"http://data.parliament.uk/resources/103352","2005-06-22","Electoral Integrity","CD:2005-06-22:18"
"http://data.parliament.uk/resources/103353","2005-06-22","Electoral Integrity","CD:2005-06-22:19"
"http://data.parliament.uk/resources/103348","2005-06-21","Racial and Religious Hatred Bill","CD:2005-06-21:14"
"http://data.parliament.uk/resources/103349","2005-06-21","Racial and Religious Hatred Bill","CD:2005-06-21:15"
"http://data.parliament.uk/resources/103350","2005-06-21","Racial and Religious Hatred Bill","CD:2005-06-21:16"
"http://data.parliament.uk/resources/103346","2005-06-14","National Lottery Bill","CD:2005-06-14:12"
"http://data.parliament.uk/resources/103347","2005-06-14","National Lottery Bill","CD:2005-06-14:13"
"http://data.parliament.uk/resources/103343","2005-06-13","Finance Bill","CD:2005-06-13:9"
"http://data.parliament.uk/resources/103344","2005-06-13","Finance Bill","CD:2005-06-13:10"
"http://data.parliament.uk/resources/103345","2005-06-13","Finance Bill","CD:2005-06-13:11"
"http://data.parliament.uk/resources/103341","2005-06-08","EU Constitution","CD:2005-06-08:7"
"http://data.parliament.uk/resources/103342","2005-06-08","EU Constitution","CD:2005-06-08:8"
"http://data.parliament.uk/resources/103339","2005-06-06","Natural Environment and Rural Communities Bill","CD:2005-06-06:5"
"http://data.parliament.uk/resources/103340","2005-06-06","Natural Environment and Rural Communities Bill","CD:2005-06-06:6"
"http://data.parliament.uk/resources/103336","2005-05-25","The Economy and Welfare Reform","CD:2005-05-25:2"
"http://data.parliament.uk/resources/103337","2005-05-25","The Economy and Welfare Reform","CD:2005-05-25:3"
"http://data.parliament.uk/resources/103338","2005-05-25","The Economy and Welfare Reform","CD:2005-05-25:4"
"http://data.parliament.uk/resources/103335","2005-05-24","Health and Education","CD:2005-05-24:1"
"http://data.parliament.uk/resources/103333","2005-04-06","Disability Discrimination Bill [Lords]","CD:2005-04-06:154"
"http://data.parliament.uk/resources/103334","2005-04-06","Railways Bill","CD:2005-04-06:155"
"http://data.parliament.uk/resources/103329","2005-04-05","Equality Bill","CD:2005-04-05:150"
"http://data.parliament.uk/resources/103330","2005-04-05","Mental Capacity Bill","CD:2005-04-05:151"
"http://data.parliament.uk/resources/103331","2005-04-05","Mental Capacity Bill","CD:2005-04-05:152"
"http://data.parliament.uk/resources/103332","2005-04-05","Mental Capacity Bill","CD:2005-04-05:153"
"http://data.parliament.uk/resources/103328","2005-03-22","Budget Resolutions and Economic Situation","CD:2005-03-22:149"
"http://data.parliament.uk/resources/103326","2005-03-18","Motions to sit in private","CD:2005-03-18:147"
"http://data.parliament.uk/resources/103327","2005-03-18","Smoking in Public Places (Wales) Bill","CD:2005-03-18:148"
"http://data.parliament.uk/resources/103324","2005-03-16","Budget Resolutions","CD:2005-03-16:145"
"http://data.parliament.uk/resources/103325","2005-03-16","Constitutional Reform Bill [Lords]","CD:2005-03-16:146"
"http://data.parliament.uk/resources/103322","2005-03-15","Inquiries Bill [Lords]","CD:2005-03-15:143"
"http://data.parliament.uk/resources/103323","2005-03-15","Inquiries Bill [Lords]","CD:2005-03-15:144"
"http://data.parliament.uk/resources/103308","2005-03-10","Support For Members Who Have Chosen Not To Take Their Seats","CD:2005-03-10:129"
"http://data.parliament.uk/resources/103309","2005-03-10","Support For Members Who Have Chosen Not To Take Their Seats","CD:2005-03-10:130"
"http://data.parliament.uk/resources/103310","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:131"
"http://data.parliament.uk/resources/103311","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:132"
"http://data.parliament.uk/resources/103312","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:133"
"http://data.parliament.uk/resources/103313","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:134"
"http://data.parliament.uk/resources/103314","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:135"
"http://data.parliament.uk/resources/103315","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:136"
"http://data.parliament.uk/resources/103316","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:137"
"http://data.parliament.uk/resources/103317","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:138"
"http://data.parliament.uk/resources/103318","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:139"
"http://data.parliament.uk/resources/103319","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:140"
"http://data.parliament.uk/resources/103320","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:141"
"http://data.parliament.uk/resources/103321","2005-03-10","Prevention of Terrorism Bill","CD:2005-03-10:142"
"http://data.parliament.uk/resources/103300","2005-03-09","Future of the BBC","CD:2005-03-09:121"
"http://data.parliament.uk/resources/103301","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:122"
"http://data.parliament.uk/resources/103302","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:123"
"http://data.parliament.uk/resources/103303","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:124"
"http://data.parliament.uk/resources/103304","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:125"
"http://data.parliament.uk/resources/103305","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:126"
"http://data.parliament.uk/resources/103306","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:127"
"http://data.parliament.uk/resources/103307","2005-03-09","Prevention of Terrorism Bill","CD:2005-03-09:128"
"http://data.parliament.uk/resources/103294","2005-03-08","Road Safety Bill","CD:2005-03-08:115"
"http://data.parliament.uk/resources/103295","2005-03-08","Road Safety Bill","CD:2005-03-08:116"
"http://data.parliament.uk/resources/103296","2005-03-08","Road Safety Bill","CD:2005-03-08:117"
"http://data.parliament.uk/resources/103297","2005-03-08","Road Safety Bill","CD:2005-03-08:118"
"http://data.parliament.uk/resources/103298","2005-03-08","Road Safety Bill","CD:2005-03-08:119"
"http://data.parliament.uk/resources/103299","2005-03-08","Road Safety Bill","CD:2005-03-08:120"
"http://data.parliament.uk/resources/103293","2005-03-07","Future European Union Finances","CD:2005-03-07:114"
"http://data.parliament.uk/resources/103292","2005-03-04","Health and Safety (Directors Duties) Bill","CD:2005-03-04:113"
"http://data.parliament.uk/resources/103289","2005-03-02","Council Tax","CD:2005-03-02:110"
"http://data.parliament.uk/resources/103290","2005-03-02","Hospital-acquired Infections","CD:2005-03-02:111"
"http://data.parliament.uk/resources/103291","2005-03-02","Hospital-acquired Infections","CD:2005-03-02:112"
"http://data.parliament.uk/resources/103284","2005-03-01","Constitutional Reform Bill [Lords]","CD:2005-03-01:105"
"http://data.parliament.uk/resources/103285","2005-03-01","Constitutional Reform Bill [Lords]","CD:2005-03-01:106"
"http://data.parliament.uk/resources/103286","2005-03-01","Constitutional Reform Bill [Lords]","CD:2005-03-01:107"
"http://data.parliament.uk/resources/103287","2005-03-01","Constitutional Reform Bill [Lords]","CD:2005-03-01:108"
"http://data.parliament.uk/resources/103288","2005-03-01","Constitutional Reform Bill [Lords]","CD:2005-03-01:109"
"http://data.parliament.uk/resources/103279","2005-02-28","Prevention of Terrorism Bill (Programme) (No. 2)","CD:2005-02-28:100"
"http://data.parliament.uk/resources/103280","2005-02-28","Prevention of Terrorism Bill","CD:2005-02-28:101"
"http://data.parliament.uk/resources/103281","2005-02-28","Prevention of Terrorism Bill","CD:2005-02-28:102"
"http://data.parliament.uk/resources/103282","2005-02-28","Prevention of Terrorism Bill","CD:2005-02-28:103"
"http://data.parliament.uk/resources/103283","2005-02-28","Prevention of Terrorism Bill","CD:2005-02-28:104"
"http://data.parliament.uk/resources/103275","2005-02-25","Point of Order","CD:2005-02-25:96"
"http://data.parliament.uk/resources/103276","2005-02-25","Drugs (Sentencing and Commission ofœœœInquiry) Bill","CD:2005-02-25:97"
"http://data.parliament.uk/resources/103277","2005-02-25","School Meals and Nutrition Bill","CD:2005-02-25:98"
"http://data.parliament.uk/resources/103278","2005-02-25","Right of Reply and Press Standards Bill","CD:2005-02-25:99"
"http://data.parliament.uk/resources/103272","2005-02-23","Prevention of Terrorism Bill","CD:2005-02-23:93"
"http://data.parliament.uk/resources/103273","2005-02-23","Prevention of Terrorism Bill","CD:2005-02-23:94"
"http://data.parliament.uk/resources/103274","2005-02-23","Prevention of Terrorism Bill","CD:2005-02-23:95"
"http://data.parliament.uk/resources/103270","2005-02-22","Drugs Bill (Programme) (No.2)","CD:2005-02-22:91"
"http://data.parliament.uk/resources/103271","2005-02-22","Drugs Bill","CD:2005-02-22:92"
"http://data.parliament.uk/resources/103265","2005-02-21","Clean Neighbourhoods and Environment Bill (Programme) (No. 2)","CD:2005-02-21:86"
"http://data.parliament.uk/resources/103266","2005-02-21","Clean Neighbourhoods and Environment Bill","CD:2005-02-21:87"
"http://data.parliament.uk/resources/103267","2005-02-21","Clean Neighbourhoods and Environment Bill","CD:2005-02-21:88"
"http://data.parliament.uk/resources/103268","2005-02-21","Clean Neighbourhoods and Environment Bill","CD:2005-02-21:89"
"http://data.parliament.uk/resources/103269","2005-02-21","Clean Neighbourhoods and Environment Bill","CD:2005-02-21:90"
"http://data.parliament.uk/resources/103259","2005-02-10","Identity Cards Bill (Programme) (No. 2)","CD:2005-02-10:80"
"http://data.parliament.uk/resources/103260","2005-02-10","Identity Cards Bill","CD:2005-02-10:81"
"http://data.parliament.uk/resources/103261","2005-02-10","Identity Cards Bill","CD:2005-02-10:82"
"http://data.parliament.uk/resources/103262","2005-02-10","Identity Cards Bill","CD:2005-02-10:83"
"http://data.parliament.uk/resources/103263","2005-02-10","Identity Cards Bill","CD:2005-02-10:84"
"http://data.parliament.uk/resources/103264","2005-02-10","Identity Cards Bill","CD:2005-02-10:85"
"http://data.parliament.uk/resources/103256","2005-02-09","European Union Bill","CD:2005-02-09:77"
"http://data.parliament.uk/resources/103257","2005-02-09","European Union Bill","CD:2005-02-09:78"
"http://data.parliament.uk/resources/103258","2005-02-09","European Union Bill","CD:2005-02-09:79"
"http://data.parliament.uk/resources/103255","2005-02-08","Belmarsh Judgment","CD:2005-02-08:76"
"http://data.parliament.uk/resources/103248","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:69"
"http://data.parliament.uk/resources/103249","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:70"
"http://data.parliament.uk/resources/103250","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:71"
"http://data.parliament.uk/resources/103251","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:72"
"http://data.parliament.uk/resources/103252","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:73"
"http://data.parliament.uk/resources/103253","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:74"
"http://data.parliament.uk/resources/103254","2005-02-07","Serious Organised Crime and Police Bill","CD:2005-02-07:75"
"http://data.parliament.uk/resources/103246","2005-02-04","Criminal Law (Amendment) (Householder Protection) Bill","CD:2005-02-04:67"
"http://data.parliament.uk/resources/103247","2005-02-04","Criminal Law (Amendment) (Householder Protection) Bill","CD:2005-02-04:68"
"http://data.parliament.uk/resources/103243","2005-02-03","Serious Organised Crime and Police Bill (Programme) (No. 2)","CD:2005-02-03:64"
"http://data.parliament.uk/resources/103244","2005-02-03","Child Benefit Bill (Programme) (No. 2)","CD:2005-02-03:65"
"http://data.parliament.uk/resources/103245","2005-02-03","Child Benefit Bill","CD:2005-02-03:66"
"http://data.parliament.uk/resources/103238","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:59"
"http://data.parliament.uk/resources/103239","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:60"
"http://data.parliament.uk/resources/103240","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:61"
"http://data.parliament.uk/resources/103241","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:62"
"http://data.parliament.uk/resources/103242","2005-02-01","Constitutional Reform Bill [Lords]","CD:2005-02-01:63"
"http://data.parliament.uk/resources/103235","2005-01-31","Constitutional Reform Bill [Lords]","CD:2005-01-31:56"
"http://data.parliament.uk/resources/103236","2005-01-31","Constitutional Reform Bill [Lords]","CD:2005-01-31:57"
"http://data.parliament.uk/resources/103237","2005-01-31","Constitutional Reform Bill [Lords]","CD:2005-01-31:58"
"http://data.parliament.uk/resources/103231","2005-01-27","Railways Bill","CD:2005-01-27:52"
"http://data.parliament.uk/resources/103232","2005-01-27","Railways Bill","CD:2005-01-27:53"
"http://data.parliament.uk/resources/103233","2005-01-27","Railways Bill","CD:2005-01-27:54"
"http://data.parliament.uk/resources/103234","2005-01-27","Railways Bill","CD:2005-01-27:55"
"http://data.parliament.uk/resources/103225","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:47"
"http://data.parliament.uk/resources/103226","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:48"
"http://data.parliament.uk/resources/103227","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:49"
"http://data.parliament.uk/resources/103228","2005-01-26","Modernisation of the House of Commons","CD:2005-01-26:50"
"http://data.parliament.uk/resources/103230","2005-01-26","Commissioners for Revenue and Customs Bill","CD:2005-01-26:51"
